StartTime: 2018-11-11 21:21:17.512
Time(s)	ax(g)	ay(g)	az(g) 
267.060	0.2715	-0.8257	0.5537 
267.083	0.2686	-0.8223	0.5566 
267.097	0.2515	-0.8218	0.5513 
267.117	0.2534	-0.8257	0.5571 
267.135	0.2646	-0.8262	0.5488 
267.156	0.2695	-0.8169	0.5396 
267.204	0.2700	-0.8115	0.5332 
267.209	0.2744	-0.8154	0.5391 
267.215	0.2856	-0.8208	0.5581 
267.239	0.2871	-0.8120	0.5605 
267.263	0.2646	-0.8198	0.5391 
267.280	0.2617	-0.8242	0.5371 
267.295	0.2744	-0.8174	0.5508 
267.316	0.2852	-0.8101	0.5430 
267.335	0.2793	-0.8062	0.5371 
267.359	0.2690	-0.8120	0.5347 
267.414	0.2646	-0.8184	0.5415 
267.425	0.2661	-0.8169	0.5474 
267.425	0.2637	-0.8115	0.5430 
267.437	0.2734	-0.8120	0.5356 
267.454	0.3013	-0.8149	0.5420 
267.474	0.2866	-0.8159	0.5483 
267.496	0.2607	-0.8149	0.5313 
267.518	0.2529	-0.8218	0.5313 
267.559	0.2637	-0.8198	0.5522 
267.568	0.2656	-0.8105	0.5396 
267.574	0.2749	-0.8008	0.5420 
267.599	0.2412	-0.8149	0.5454 
267.617	0.2344	-0.8306	0.5366 
267.637	0.2573	-0.8403	0.5571 
267.655	0.3086	-0.8315	0.5513 
267.680	0.3066	-0.8369	0.5132 
267.706	0.2627	-0.8623	0.5054 
267.713	0.2441	-0.8755	0.5103 
267.733	0.2241	-0.8770	0.5151 
267.753	0.2056	-0.8560	0.5122 
267.772	0.2246	-0.8418	0.4688 
267.808	0.2476	-0.8511	0.4487 
267.818	0.2671	-0.8765	0.4390 
267.839	0.2651	-0.8989	0.4355 
267.853	0.2690	-0.9155	0.4429 
267.873	0.2544	-0.9189	0.4448 
267.897	0.2505	-0.8921	0.4478 
267.913	0.2432	-0.8623	0.4434 
267.932	0.2378	-0.8467	0.4429 
267.952	0.2476	-0.8433	0.4536 
268.007	0.2319	-0.8521	0.4468 
268.015	0.2070	-0.8760	0.4302 
268.015	0.2070	-0.8970	0.4092 
268.037	0.2104	-0.8828	0.3979 
268.052	0.2402	-0.8711	0.4072 
268.072	0.2598	-0.8672	0.4268 
268.092	0.2554	-0.8594	0.4424 
268.111	0.2354	-0.8599	0.4282 
268.132	0.2178	-0.8628	0.4155 
268.152	0.2246	-0.8599	0.4160 
268.214	0.2388	-0.8706	0.4307 
268.221	0.2476	-0.8857	0.4365 
268.221	0.2324	-0.9038	0.4326 
268.231	0.2188	-0.9102	0.4067 
268.251	0.2021	-0.9331	0.3770 
268.272	0.1997	-0.9478	0.3828 
268.292	0.2612	-0.9468	0.4155 
268.311	0.3169	-0.9297	0.4375 
268.334	0.3398	-0.9424	0.4243 
268.351	0.3105	-0.9648	0.4185 
268.377	0.3125	-1.0112	0.4727 
268.415	0.3286	-1.0000	0.5752 
268.423	0.3335	-0.9458	0.5981 
268.430	0.3755	-0.9292	0.6245 
268.450	0.3857	-0.9160	0.6729 
268.471	0.3208	-0.8477	0.6924 
268.491	0.2529	-0.7964	0.6479 
268.517	0.1904	-0.7324	0.5688 
268.535	0.2021	-0.7144	0.5830 
268.552	0.2427	-0.6763	0.6563 
268.570	0.3081	-0.6440	0.6797 
268.623	0.4536	-0.6230	0.7285 
268.636	0.5190	-0.6470	0.7578 
268.636	0.4712	-0.7031	0.7393 
268.658	0.3770	-0.7280	0.6899 
268.677	0.2178	-0.7427	0.6177 
268.690	0.1636	-0.7246	0.5742 
268.711	0.1738	-0.6816	0.5493 
268.732	0.2295	-0.6606	0.5435 
268.755	0.2930	-0.6450	0.5664 
268.779	0.3032	-0.6504	0.5684 
268.827	0.3037	-0.6665	0.5786 
268.841	0.3052	-0.6816	0.5918 
268.841	0.2920	-0.6890	0.5967 
268.849	0.2847	-0.6841	0.5933 
268.869	0.3003	-0.6846	0.6123 
