StartTime: 2018-11-11 21:21:17.512
Time(s)	ax(g)	ay(g)	az(g) 
547.053	0.3267	-0.7979	0.5684 
547.106	0.3345	-0.8066	0.5806 
547.113	0.3325	-0.7974	0.5806 
547.113	0.3164	-0.7935	0.5703 
547.129	0.3198	-0.7939	0.5664 
547.148	0.3325	-0.7788	0.5669 
547.168	0.3374	-0.7754	0.5562 
547.187	0.3496	-0.7813	0.5698 
547.207	0.3643	-0.7769	0.5801 
547.232	0.3569	-0.7729	0.5708 
547.253	0.3481	-0.7700	0.5742 
547.321	0.3486	-0.7837	0.5791 
547.331	0.3311	-0.7822	0.5586 
547.331	0.3301	-0.7744	0.5464 
547.331	0.3638	-0.7612	0.5483 
547.354	0.3657	-0.7759	0.5503 
547.368	0.3398	-0.8003	0.5630 
547.386	0.3247	-0.8027	0.5537 
547.407	0.3081	-0.8125	0.5342 
547.427	0.3174	-0.8149	0.5352 
547.474	0.3281	-0.8203	0.5391 
547.484	0.3271	-0.8247	0.5391 
547.490	0.3242	-0.8315	0.5400 
547.505	0.3276	-0.8179	0.5327 
547.527	0.3364	-0.8086	0.5229 
547.549	0.3462	-0.8032	0.5200 
547.570	0.3662	-0.7983	0.5327 
547.585	0.3765	-0.7905	0.5527 
547.605	0.3511	-0.7842	0.5371 
547.628	0.3335	-0.7803	0.5327 
547.650	0.3442	-0.7793	0.5542 
547.671	0.3364	-0.7563	0.5757 
547.725	0.3037	-0.7354	0.5732 
547.738	0.2300	-0.7305	0.5601 
547.738	0.2510	-0.7617	0.6099 
547.744	0.3262	-0.8110	0.6934 
547.764	0.3555	-0.8198	0.7041 
547.786	0.3696	-0.8174	0.6792 
547.807	0.3306	-0.8174	0.6460 
547.829	0.2217	-0.8276	0.5957 
547.877	0.1665	-0.8315	0.5732 
547.886	0.1538	-0.7847	0.5557 
547.886	0.1860	-0.7485	0.5435 
547.909	0.2427	-0.7173	0.5537 
547.930	0.2588	-0.7305	0.5728 
547.953	0.2485	-0.7646	0.6104 
547.963	0.2373	-0.7866	0.6289 
547.983	0.2163	-0.7988	0.6382 
548.002	0.1938	-0.8008	0.6265 
548.023	0.1846	-0.8135	0.6084 
548.046	0.1855	-0.8296	0.6050 
548.066	0.1963	-0.8198	0.5972 
548.089	0.1953	-0.8164	0.5908 
548.132	0.1719	-0.8125	0.5884 
548.145	0.1704	-0.8086	0.5908 
548.151	0.1719	-0.8242	0.5928 
548.165	0.1631	-0.8364	0.5835 
548.190	0.1665	-0.8486	0.5957 
548.209	0.1748	-0.8438	0.6113 
548.231	0.1782	-0.8413	0.6094 
548.284	0.1660	-0.8481	0.6050 
548.296	0.1411	-0.8975	0.6118 
548.296	0.1431	-0.9165	0.6250 
548.303	0.1465	-0.9238	0.6460 
548.321	0.1470	-0.9141	0.6440 
548.341	0.2036	-0.9194	0.6621 
548.361	0.2446	-0.9624	0.6938 
548.381	0.2041	-1.0171	0.7178 
548.402	0.1870	-0.9619	0.6729 
548.424	0.2813	-0.7905	0.6030 
548.448	0.3589	-0.6909	0.5645 
548.470	0.4326	-0.7017	0.5283 
548.481	0.4185	-0.6851	0.5034 
548.543	0.3682	-0.6831	0.4272 
548.555	0.3765	-0.7378	0.3911 
548.555	0.4717	-0.7988	0.4761 
548.561	0.6128	-0.7715	0.5234 
548.580	0.6704	-0.7334	0.4941 
548.600	0.6016	-0.8145	0.5112 
548.621	0.5254	-0.8809	0.5791 
548.644	0.4214	-0.8799	0.5996 
548.702	0.3604	-0.8369	0.5415 
548.715	0.3135	-0.7607	0.4644 
548.715	0.3359	-0.7153	0.4473 
548.722	0.3740	-0.6709	0.4282 
548.740	0.3682	-0.6548	0.4004 
548.762	0.3418	-0.6445	0.3857 
548.788	0.3213	-0.6665	0.4023 
548.808	0.3218	-0.7202	0.4512 
548.819	0.3135	-0.7627	0.4712 
548.838	0.2910	-0.7905	0.4517 
548.858	0.2832	-0.7969	0.4448 
548.907	0.3252	-0.7793	0.4575 
548.913	0.3521	-0.7788	0.4619 
548.919	0.3335	-0.8022	0.4443 
548.943	0.3032	-0.8198	0.4248 
548.965	0.2900	-0.8691	0.4458 
548.984	0.2974	-0.9131	0.4692 
548.999	0.3223	-0.8848	0.5015 
549.018	0.3301	-0.8779	0.4922 
549.037	0.3779	-0.9092	0.5190 
549.057	0.4033	-0.9883	0.5659 
549.110	0.3555	-1.0469	0.6855 
549.117	0.2896	-1.0313	0.6792 
549.117	0.3589	-0.9282	0.7661 
549.145	0.3682	-0.8247	0.7842 
549.168	0.3555	-0.6934	0.7412 
549.179	0.3740	-0.6592	0.7441 
549.196	0.4287	-0.6616	0.7559 
549.216	0.4702	-0.6929	0.7563 
549.236	0.5059	-0.7241	0.7832 
549.256	0.5054	-0.6860	0.7432 
549.313	0.4648	-0.6167	0.6333 
549.320	0.4028	-0.6035	0.5801 
549.320	0.2959	-0.6216	0.5337 
549.343	0.2227	-0.6416	0.5146 
549.355	0.1909	-0.6748	0.5259 
549.375	0.2422	-0.6606	0.5850 
549.395	0.3281	-0.6162	0.6099 
549.415	0.3315	-0.6299	0.5952 
549.435	0.2949	-0.6919	0.5820 
549.455	0.2900	-0.7178	0.5928 
549.510	0.2930	-0.7339	0.5981 
549.520	0.2852	-0.7427	0.6030 
549.521	0.2764	-0.7490	0.6108 
549.534	0.2871	-0.7554	0.6230 
549.554	0.3164	-0.7456	0.6343 
549.574	0.3521	-0.7539	0.6372 
549.594	0.3311	-0.7900	0.6304 
549.613	0.2524	-0.8389	0.6216 
549.634	0.2139	-0.8584	0.6245 
549.654	0.2085	-0.8677	0.6211 
549.712	0.2598	-0.8545	0.6255 
549.720	0.4121	-0.8887	0.6631 
549.720	0.4219	-0.9409	0.6768 
549.734	0.3359	-0.9248	0.5698 
549.756	0.3696	-0.8921	0.5371 
549.777	0.4238	-0.8354	0.4727 
549.794	0.4688	-0.7646	0.4146 
549.819	0.5801	-0.6987	0.4082 
549.834	0.6055	-0.7456	0.4453 
549.853	0.5356	-0.8511	0.5371 
549.877	0.4824	-0.8579	0.5649 
549.922	0.3999	-0.8193	0.5435 
549.931	0.3491	-0.7881	0.5176 
549.938	0.3423	-0.7217	0.4717 
549.956	0.3521	-0.7021	0.4526 
549.978	0.3545	-0.7212	0.4365 
550.002	0.3325	-0.7305	0.4326 
550.020	0.2783	-0.7349	0.4233 
550.031	0.2813	-0.7617	0.4395 
550.051	0.3188	-0.7529	0.4790 
550.071	0.3110	-0.7559	0.4702 
550.119	0.3125	-0.7769	0.4614 
550.125	0.3076	-0.8057	0.4604 
550.131	0.3047	-0.7861	0.4331 
550.155	0.2993	-0.7666	0.4146 
550.173	0.3291	-0.7607	0.4072 
550.197	0.3398	-0.7993	0.4253 
550.216	0.3384	-0.8555	0.4502 
550.240	0.3369	-0.8530	0.4668 
550.251	0.3511	-0.8525	0.4863 
550.270	0.3687	-0.8813	0.5020 
550.317	0.4028	-0.9404	0.5366 
550.323	0.4214	-0.9946	0.6333 
550.330	0.3579	-1.0410	0.7305 
550.362	0.3989	-1.0205	0.7539 
550.372	0.3867	-0.9492	0.7725 
550.397	0.3491	-0.8608	0.7251 
550.420	0.2544	-0.7236	0.6382 
550.438	0.2222	-0.6909	0.6147 
550.450	0.3306	-0.6616	0.6851 
550.471	0.4468	-0.6357	0.7402 
550.518	0.5483	-0.6436	0.7617 
550.526	0.5488	-0.6855	0.7534 
550.532	0.5146	-0.7227	0.7397 
550.554	0.3696	-0.7090	0.6533 
550.578	0.2754	-0.6694	0.5811 
550.598	0.2095	-0.6523	0.5215 
550.621	0.2275	-0.6392	0.5278 
550.629	0.2695	-0.6025	0.5356 
550.648	0.2979	-0.6060	0.5532 
550.668	0.3345	-0.6143	0.5938 
550.689	0.3252	-0.6411	0.6021 
550.708	0.2754	-0.6953	0.5952 
550.729	0.2437	-0.7329	0.6094 
550.780	0.2183	-0.7690	0.6333 
550.791	0.2173	-0.7876	0.6387 
550.798	0.2383	-0.7881	0.6279 
550.819	0.2476	-0.7852	0.6152 
550.834	0.2271	-0.8223	0.6050 
550.854	0.2256	-0.8306	0.6064 
550.876	0.2407	-0.8149	0.6108 
550.929	0.2539	-0.8193	0.6152 
550.944	0.2563	-0.8403	0.6182 
550.944	0.2446	-0.8618	0.6250 
550.951	0.2480	-0.8423	0.6313 
550.967	0.2832	-0.8066	0.6172 
550.986	0.4150	-0.8242	0.6577 
551.006	0.4375	-0.9004	0.7036 
551.027	0.3452	-0.9146	0.6475 
551.048	0.3594	-0.8975	0.5571 
551.070	0.3887	-0.8872	0.4326 
551.095	0.4629	-0.7886	0.3975 
551.106	0.6284	-0.7388	0.4248 
551.126	0.6021	-0.8237	0.4800 
551.146	0.4927	-0.9248	0.5737 
551.183	0.4512	-0.8896	0.5942 
551.200	0.4092	-0.7793	0.5449 
551.217	0.3711	-0.7202	0.4927 
551.225	0.2827	-0.6807	0.4126 
551.245	0.2520	-0.6660	0.3730 
551.269	0.2891	-0.7056	0.4004 
551.286	0.3477	-0.7329	0.4502 
551.304	0.3438	-0.7334	0.4644 
551.325	0.3306	-0.7104	0.4541 
551.345	0.2778	-0.7520	0.4277 
551.397	0.2588	-0.8008	0.4385 
551.410	0.2524	-0.8008	0.4751 
551.416	0.2744	-0.7710	0.4658 
551.432	0.3403	-0.7510	0.4404 
551.455	0.3623	-0.7617	0.4487 
551.465	0.3325	-0.7754	0.4507 
551.484	0.3086	-0.7974	0.4380 
551.510	0.2979	-0.8579	0.4521 
551.526	0.3086	-0.8862	0.4897 
551.547	0.3701	-0.8823	0.5361 
551.611	0.3691	-0.8794	0.5283 
551.618	0.3486	-0.9102	0.5308 
551.618	0.3174	-0.9893	0.6465 
551.623	0.2559	-0.9990	0.7017 
551.646	0.3486	-0.9521	0.7236 
551.668	0.4282	-0.9097	0.7861 
551.692	0.3838	-0.8252	0.7739 
551.713	0.2695	-0.7705	0.7041 
551.762	0.2090	-0.7158	0.7017 
551.777	0.2993	-0.7007	0.7363 
551.777	0.4873	-0.7007	0.7925 
551.783	0.5449	-0.7100	0.8003 
551.803	0.5439	-0.7183	0.7656 
551.822	0.4707	-0.7036	0.7217 
551.842	0.3086	-0.6895	0.6265 
551.862	0.2485	-0.6626	0.5771 
551.887	0.1836	-0.6494	0.5063 
551.904	0.1680	-0.6509	0.4912 
551.962	0.2627	-0.6138	0.5269 
551.972	0.3262	-0.5869	0.5493 
551.972	0.3364	-0.5977	0.5488 
551.981	0.3032	-0.6499	0.5547 
552.001	0.2578	-0.7432	0.5869 
552.020	0.2642	-0.7656	0.6138 
552.041	0.2637	-0.7510	0.6172 
