StartTime: 2018-11-18 09:26:32.427
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
1136.633	0.0508	0.2290	1.0142	11.2061	0.6812	-5.1086	19.8600 
1136.633	0.0522	0.2236	1.0049	11.2061	0.6702	-5.1416	19.8700 
1136.634	0.0459	0.2197	1.0049	11.2061	0.6702	-5.1801	19.8700 
1136.665	0.0483	0.2422	1.0088	11.2170	0.6866	-5.2460	19.8700 
1136.684	0.0527	0.2202	1.0088	11.2225	0.6702	-5.2625	19.8600 
1136.684	0.0513	0.2153	0.9990	11.2225	0.6592	-5.2789	19.8500 
1136.709	0.0493	0.2412	1.0073	11.2280	0.6702	-5.3339	19.8500 
1136.723	0.0498	0.2266	1.0088	11.2335	0.6592	-5.3503	19.8500 
1136.743	0.0483	0.2275	1.0039	11.2280	0.6537	-5.3778	19.8600 
1136.847	0.0474	0.2349	1.0054	11.2225	0.6592	-5.4163	19.8600 
1136.865	0.0459	0.2275	1.0029	11.2006	0.6647	-5.4547	19.8700 
1136.866	0.0439	0.2339	1.0107	11.1841	0.6921	-5.5151	19.8500 
1136.866	0.0464	0.2461	1.0034	11.1731	0.7086	-5.5865	19.8500 
1136.866	0.0444	0.2417	1.0000	11.1621	0.7251	-5.6689	19.8700 
1136.866	0.0405	0.2188	0.9961	11.1401	0.7471	-5.7513	19.8400 
1136.884	0.0396	0.2373	1.0059	11.1072	0.7800	-5.8667	19.8700 
1136.906	0.0356	0.2305	1.0039	11.0742	0.8020	-5.9601	19.8700 
1137.000	0.0342	0.2300	1.0000	11.0413	0.8020	-6.0370	19.8600 
1137.012	0.0459	0.2671	1.0010	11.0303	0.8020	-6.1194	19.8700 
1137.012	0.0449	0.2427	0.9917	11.0193	0.7800	-6.1578	19.8500 
1137.013	0.0293	0.2642	0.9995	10.9918	0.7855	-6.2457	19.8500 
1137.013	0.0156	0.2661	1.0264	10.9479	0.8350	-6.3831	19.8700 
1137.028	0.0117	0.2437	1.0000	10.8875	0.8679	-6.5094	19.8600 
1137.044	0.0205	0.2632	0.9937	10.8160	0.9064	-6.6357	19.8600 
1137.064	0.0269	0.2412	0.9800	10.7391	0.9009	-6.7236	19.8700 
1137.083	0.0205	0.2485	0.9956	10.6567	0.9009	-6.8280	19.8600 
1137.106	0.0288	0.2690	1.0015	10.5908	0.9009	-6.9214	19.8800 
1137.123	0.0195	0.1948	0.9819	10.4974	0.8514	-6.9379	19.8800 
1137.141	0.0127	0.2891	1.0220	10.3986	0.8789	-7.1191	19.8600 
1137.164	0.0195	0.2764	1.0073	10.3491	0.8844	-7.2400	19.8700 
1137.273	0.0234	0.1909	0.9722	10.2448	0.8405	-7.2400	19.8600 
1137.280	0.0156	0.2446	1.0283	10.1624	0.8734	-7.3663	19.8800 
1137.280	0.0200	0.2222	1.0073	10.1294	0.8679	-7.4323	19.8600 
1137.280	0.0161	0.1729	0.9688	10.0635	0.8405	-7.4377	19.8700 
1137.280	0.0122	0.2798	1.0205	10.0305	0.9119	-7.5861	19.8700 
1137.280	0.0146	0.2534	1.0327	10.0415	0.9338	-7.6080	19.8800 
1137.302	0.0400	0.1665	1.0059	9.9976	0.8734	-7.4542	19.8700 
1137.320	0.0679	0.2319	1.0029	9.9591	0.8679	-7.3718	19.8700 
