StartTime: 2018-11-18 09:26:32.427
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
1012.161	0.0015	0.2690	0.9946	14.6063	2.7356	-2.0050	23.7200 
1012.179	0.0034	0.2935	0.9937	14.6063	2.7411	-2.0325	23.7100 
1012.198	0.0103	0.2983	0.9878	14.6173	2.7246	-2.0380	23.7200 
1012.216	0.0093	0.2666	0.9810	14.6063	2.7026	-2.0160	23.7100 
1012.236	0.0103	0.2983	0.9824	14.5953	2.7136	-2.0544	23.7200 
1012.257	0.0078	0.3013	0.9858	14.5953	2.7191	-2.0819	23.7200 
1012.276	0.0107	0.2832	0.9858	14.5679	2.7026	-2.0764	23.7200 
1012.384	0.0039	0.2798	0.9897	14.5294	2.6917	-2.0819	23.6900 
1012.395	-0.0044	0.2842	0.9897	14.4855	2.6807	-2.0984	23.6900 
1012.396	0.0039	0.2925	0.9888	14.4525	2.6697	-2.1149	23.7000 
1012.396	0.0122	0.2803	0.9771	14.4196	2.6367	-2.1094	23.7200 
1012.396	0.0034	0.2822	0.9902	14.3866	2.6257	-2.1204	23.7100 
1012.415	0.0049	0.2935	0.9902	14.3591	2.6202	-2.1533	23.7000 
1012.435	0.0020	0.2827	0.9946	14.3317	2.6093	-2.1863	23.7000 
1012.457	-0.0029	0.2729	0.9956	14.2987	2.6038	-2.2357	23.7100 
1012.472	0.0005	0.2925	0.9775	14.2712	2.6038	-2.3071	23.6900 
1012.497	-0.0010	0.2876	0.9907	14.2493	2.5983	-2.3456	23.7000 
1012.498	-0.0054	0.2744	0.9883	14.2273	2.5818	-2.3456	23.6700 
1012.608	-0.0034	0.3042	0.9961	14.1998	2.5763	-2.3730	23.6600 
1012.633	0.0010	0.2896	0.9639	14.1724	2.5488	-2.3676	23.6800 
1012.633	-0.0054	0.3022	0.9707	14.1339	2.5433	-2.4060	23.6700 
1012.633	-0.0215	0.2969	1.0044	14.0955	2.5543	-2.4719	23.6700 
1012.633	-0.0244	0.2632	0.9907	14.0405	2.5323	-2.5214	23.6700 
1012.633	-0.0166	0.2964	0.9888	13.9746	2.5323	-2.5928	23.6800 
1012.652	0.0049	0.2871	0.9810	13.9197	2.5104	-2.5983	23.6800 
1012.755	0.0039	0.2656	0.9844	13.8483	2.4774	-2.5598	23.6800 
1012.778	0.0063	0.3296	0.9971	13.7933	2.4774	-2.5983	23.6600 
1012.778	0.0078	0.2979	0.9697	13.7384	2.4335	-2.5873	23.6700 
1012.778	-0.0049	0.2661	0.9849	13.6450	2.4060	-2.5873	23.6600 
1012.778	-0.0117	0.3076	1.0161	13.5681	2.4500	-2.6917	23.6600 
1012.778	-0.0034	0.2593	0.9937	13.5077	2.4390	-2.7521	23.6500 
1012.778	-0.0039	0.2910	0.9863	13.4418	2.4554	-2.8619	23.6600 
1012.794	-0.0049	0.3115	1.0059	13.4198	2.5104	-2.9608	23.6700 
1012.814	-0.0005	0.2261	0.9639	13.3539	2.4884	-2.9169	23.6700 
1012.834	-0.0117	0.2910	0.9805	13.2550	2.5488	-3.0652	23.6600 
1012.853	-0.0215	0.3311	0.9863	13.2001	2.6312	-3.3179	23.6500 
1012.955	-0.0249	0.3003	0.9780	13.1287	2.6367	-3.5046	23.6800 
1012.992	-0.0459	0.2456	0.9585	13.0023	2.6257	-3.7244	23.6500 
1012.992	-0.0557	0.3047	0.9600	12.8705	2.7026	-4.1144	23.6400 
1012.993	-0.0098	0.2871	1.0254	12.7167	2.7521	-4.3726	23.6500 
1012.993	0.0122	0.2090	0.9810	12.5079	2.7081	-4.5264	23.6400 
