StartTime: 2018-11-11 20:28:49.928
Time(s)	ax(g)	ay(g)	az(g) 
611.975	0.4004	-0.6528	0.6772 
611.990	0.3931	-0.6475	0.6733 
611.990	0.3945	-0.6494	0.6807 
611.990	0.4146	-0.6396	0.7002 
611.990	0.4233	-0.6304	0.7051 
612.022	0.3975	-0.6523	0.7031 
612.022	0.3916	-0.6499	0.7026 
612.037	0.3745	-0.6338	0.7070 
612.053	0.3804	-0.6309	0.7017 
612.068	0.4102	-0.6226	0.7168 
612.084	0.4097	-0.6089	0.7065 
612.162	0.4009	-0.6016	0.6953 
612.178	0.3989	-0.6147	0.6992 
612.178	0.4048	-0.6333	0.7158 
612.178	0.4116	-0.6279	0.7085 
612.193	0.4136	-0.6274	0.6963 
612.225	0.4141	-0.6284	0.6953 
612.256	0.4121	-0.6294	0.6885 
612.256	0.4141	-0.6333	0.6919 
612.272	0.4053	-0.6445	0.6860 
612.287	0.4004	-0.6523	0.6792 
612.381	0.4165	-0.6533	0.6787 
612.412	0.4268	-0.6445	0.6890 
612.412	0.4263	-0.6489	0.6934 
612.412	0.4233	-0.6499	0.6978 
612.412	0.4258	-0.6499	0.7026 
612.412	0.4087	-0.6479	0.6914 
612.428	0.4077	-0.6313	0.6807 
612.443	0.4282	-0.6025	0.6753 
612.475	0.4297	-0.5830	0.6816 
612.553	0.4146	-0.6035	0.6978 
612.568	0.4038	-0.6221	0.7153 
612.568	0.4004	-0.6333	0.7197 
612.568	0.4009	-0.6187	0.7114 
612.568	0.4067	-0.6104	0.6934 
612.600	0.4121	-0.6069	0.6914 
612.615	0.4131	-0.5952	0.7046 
612.631	0.3999	-0.6040	0.7075 
612.647	0.3921	-0.6226	0.7192 
612.662	0.4014	-0.6411	0.7295 
612.693	0.3979	-0.6602	0.7290 
612.709	0.3994	-0.6558	0.7290 
612.725	0.4126	-0.6221	0.7168 
612.818	0.3960	-0.6230	0.7070 
612.850	0.3677	-0.6289	0.7212 
612.850	0.3599	-0.6089	0.7388 
612.850	0.3579	-0.5679	0.7637 
612.850	0.3467	-0.5483	0.7773 
612.850	0.3457	-0.5513	0.7852 
612.865	0.3569	-0.5405	0.8003 
612.897	0.3677	-0.5386	0.8125 
612.912	0.3657	-0.5483	0.8086 
612.928	0.3730	-0.5483	0.8159 
613.006	0.3706	-0.5469	0.8125 
613.022	0.3657	-0.5532	0.8071 
613.022	0.3633	-0.5356	0.7949 
613.022	0.3618	-0.5103	0.7979 
613.037	0.3647	-0.5122	0.7944 
613.053	0.3535	-0.5298	0.8008 
613.068	0.3516	-0.5327	0.8047 
613.084	0.3623	-0.5186	0.7993 
613.115	0.3696	-0.5234	0.7998 
613.193	0.3813	-0.5415	0.8110 
613.193	0.4019	-0.5537	0.8140 
613.209	0.4043	-0.5698	0.8125 
613.209	0.4009	-0.5723	0.7930 
613.209	0.4028	-0.5542	0.7676 
613.225	0.4170	-0.5459	0.7583 
613.240	0.4097	-0.5454	0.7319 
