StartTime: 2018-11-11 20:28:49.928
Time(s)	ax(g)	ay(g)	az(g) 
797.571	0.4326	-0.6406	0.6714 
797.680	0.4019	-0.6450	0.6436 
797.696	0.4106	-0.6577	0.6357 
797.696	0.4292	-0.6523	0.6499 
797.696	0.4307	-0.6357	0.6563 
797.696	0.4282	-0.6372	0.6665 
797.696	0.4111	-0.6533	0.6719 
797.711	0.4058	-0.6567	0.6621 
797.727	0.4019	-0.6631	0.6602 
797.805	0.4038	-0.6621	0.6592 
797.821	0.3887	-0.6577	0.6699 
797.821	0.3608	-0.6680	0.7026 
797.821	0.3481	-0.6890	0.7021 
797.836	0.3359	-0.7144	0.7046 
797.852	0.3472	-0.7021	0.6899 
797.868	0.3770	-0.6597	0.6919 
797.899	0.3691	-0.6509	0.6938 
797.914	0.3701	-0.6626	0.7119 
797.930	0.3750	-0.6714	0.7329 
797.946	0.3896	-0.6621	0.7197 
797.977	0.4038	-0.6426	0.6841 
798.071	0.4150	-0.6377	0.6704 
798.071	0.4131	-0.6294	0.6782 
798.086	0.4043	-0.6348	0.6860 
798.086	0.3633	-0.6655	0.6870 
798.086	0.3545	-0.6763	0.6816 
798.086	0.3647	-0.6597	0.6948 
798.102	0.3896	-0.6260	0.7095 
798.118	0.4189	-0.6138	0.7119 
798.149	0.3984	-0.6411	0.6978 
798.180	0.3691	-0.6636	0.6777 
798.258	0.3735	-0.6445	0.6782 
798.274	0.3926	-0.6235	0.6904 
798.274	0.3789	-0.6265	0.6880 
798.274	0.3730	-0.6494	0.6919 
798.274	0.3735	-0.6611	0.7041 
798.289	0.3799	-0.6504	0.7168 
798.305	0.3813	-0.6455	0.7129 
798.336	0.3706	-0.6426	0.6934 
798.368	0.3726	-0.6431	0.6831 
798.368	0.3994	-0.6372	0.6997 
798.477	0.4170	-0.6187	0.7100 
798.493	0.3945	-0.6255	0.6963 
798.493	0.3706	-0.6343	0.6953 
798.493	0.3843	-0.6265	0.7114 
798.493	0.3799	-0.6289	0.7222 
798.493	0.3853	-0.6406	0.7485 
798.524	0.3882	-0.6577	0.7720 
798.524	0.3584	-0.6875	0.7520 
798.555	0.3311	-0.6958	0.7344 
798.571	0.3433	-0.6855	0.7100 
798.586	0.3462	-0.6616	0.6982 
798.664	0.3408	-0.6162	0.6616 
798.680	0.3340	-0.6055	0.6582 
798.680	0.3657	-0.6143	0.6802 
798.680	0.3789	-0.6387	0.7163 
798.696	0.3540	-0.6772	0.7441 
798.711	0.3403	-0.6948	0.7358 
798.727	0.3525	-0.6660	0.7207 
798.743	0.3364	-0.6479	0.6953 
798.758	0.3306	-0.6582	0.6919 
798.774	0.3159	-0.6523	0.6802 
798.883	0.3018	-0.6602	0.6724 
798.899	0.3037	-0.6611	0.6792 
798.899	0.3159	-0.6582	0.6968 
798.899	0.3154	-0.6553	0.7056 
798.899	0.3218	-0.6572	0.7319 
798.930	0.3232	-0.6533	0.7324 
798.930	0.3018	-0.6621	0.7158 
798.946	0.2827	-0.6743	0.7139 
798.961	0.2861	-0.6733	0.7100 
798.993	0.3057	-0.6489	0.7109 
799.071	0.2993	-0.6470	0.7183 
799.071	0.2964	-0.6675	0.7119 
799.086	0.3018	-0.6602	0.7153 
799.086	0.3149	-0.6489	0.7476 
799.086	0.3208	-0.6577	0.7456 
799.118	0.2949	-0.6982	0.7466 
799.133	0.3047	-0.7178	0.7461 
799.149	0.3008	-0.7461	0.7676 
799.180	0.2856	-0.7598	0.7676 
799.180	0.2793	-0.7485	0.7554 
799.274	0.3062	-0.7261	0.7627 
799.305	0.3911	-0.7437	0.8081 
799.305	0.4219	-0.7783	0.8188 
799.305	0.3887	-0.7788	0.7593 
799.305	0.3833	-0.7334	0.7129 
799.305	0.4214	-0.6611	0.6709 
799.321	0.4634	-0.6333	0.6636 
799.336	0.4688	-0.6230	0.6353 
799.368	0.4448	-0.6191	0.5908 
799.399	0.4336	-0.6230	0.5479 
799.399	0.5186	-0.6060	0.5718 
799.508	0.6289	-0.6011	0.6060 
799.524	0.6318	-0.6372	0.6011 
799.524	0.5747	-0.6680	0.5850 
799.524	0.5151	-0.6836	0.5898 
799.524	0.4712	-0.6489	0.6074 
799.524	0.4707	-0.6196	0.5967 
799.555	0.4395	-0.6055	0.5293 
799.664	0.3979	-0.6260	0.5020 
799.664	0.3853	-0.6494	0.5103 
799.680	0.4048	-0.6631	0.5210 
799.680	0.4204	-0.6763	0.5469 
799.680	0.4321	-0.6621	0.5723 
799.680	0.4238	-0.6528	0.5591 
799.680	0.4106	-0.6626	0.5723 
799.711	0.4038	-0.6919	0.5981 
799.743	0.4014	-0.7041	0.6128 
799.743	0.3862	-0.7075	0.5996 
799.774	0.3965	-0.6909	0.5732 
799.852	0.3975	-0.6753	0.5352 
799.852	0.4053	-0.6875	0.5347 
799.883	0.3940	-0.7144	0.5718 
799.883	0.3965	-0.7134	0.5918 
799.883	0.4160	-0.7397	0.6270 
799.883	0.4243	-0.7588	0.6221 
799.899	0.4155	-0.8091	0.6147 
799.914	0.4136	-0.8389	0.6558 
799.946	0.4839	-0.8364	0.7368 
799.977	0.4961	-0.8364	0.7959 
799.977	0.4268	-0.8413	0.7915 
800.055	0.4312	-0.8027	0.7852 
800.071	0.4443	-0.7524	0.7744 
800.071	0.4580	-0.6948	0.7188 
800.071	0.4312	-0.6665	0.7021 
800.086	0.3398	-0.6577	0.6968 
800.102	0.3071	-0.6392	0.6802 
800.133	0.3452	-0.5430	0.7227 
800.133	0.4146	-0.4951	0.7896 
800.164	0.5005	-0.5049	0.8394 
800.243	0.5366	-0.5420	0.8213 
800.243	0.4409	-0.5898	0.7720 
800.274	0.3877	-0.5938	0.7134 
800.274	0.3345	-0.5684	0.6084 
800.274	0.3296	-0.5278	0.5674 
800.274	0.3232	-0.4883	0.5723 
800.289	0.3335	-0.4990	0.6294 
800.321	0.3794	-0.5386	0.6860 
800.352	0.3970	-0.5698	0.6973 
800.352	0.3628	-0.6011	0.7275 
800.383	0.3506	-0.6162	0.7300 
800.414	0.3545	-0.6626	0.7461 
800.414	0.3569	-0.6455	0.7559 
800.477	0.3325	-0.6182	0.7437 
800.493	0.3232	-0.6143	0.7383 
800.493	0.3672	-0.5972	0.7583 
800.493	0.4106	-0.5957	0.7847 
800.524	0.3779	-0.6240	0.7549 
800.539	0.3340	-0.6587	0.7314 
800.555	0.3301	-0.6484	0.7075 
800.586	0.3940	-0.6396	0.7310 
800.711	0.5137	-0.6948	0.7954 
800.711	0.5317	-0.8032	0.8047 
800.758	0.5039	-0.8892	0.7261 
800.758	0.5103	-0.8687	0.6172 
800.758	0.5718	-0.7441	0.4819 
800.758	0.6079	-0.6069	0.4609 
800.758	0.6646	-0.4897	0.4722 
800.758	0.6416	-0.5337	0.5068 
800.774	0.5308	-0.6655	0.5884 
800.774	0.4702	-0.7021	0.6211 
800.789	0.4253	-0.6768	0.5742 
800.805	0.3555	-0.6567	0.5068 
800.836	0.3125	-0.6382	0.4561 
800.930	0.3535	-0.6528	0.5044 
800.961	0.4404	-0.6597	0.6201 
800.961	0.4414	-0.6621	0.6489 
800.961	0.3848	-0.6763	0.6016 
800.961	0.3569	-0.6943	0.5439 
800.961	0.3730	-0.6958	0.5488 
