StartTime: 2018-11-11 20:28:49.928
Time(s)	ax(g)	ay(g)	az(g) 
568.938	0.3481	-0.6426	0.7490 
568.938	0.3628	-0.6274	0.7485 
568.938	0.3599	-0.6104	0.7319 
568.954	0.3540	-0.6226	0.7124 
568.969	0.3506	-0.6421	0.7271 
568.985	0.3599	-0.6416	0.7285 
569.001	0.3594	-0.6226	0.7261 
569.032	0.3486	-0.6191	0.7109 
569.141	0.3389	-0.6235	0.7046 
569.141	0.3442	-0.6289	0.7212 
569.157	0.3682	-0.6289	0.7427 
569.157	0.3696	-0.6265	0.7417 
569.157	0.3540	-0.6362	0.7329 
569.157	0.3491	-0.6348	0.7295 
569.173	0.3594	-0.6265	0.7212 
569.188	0.3657	-0.6260	0.7153 
569.219	0.3486	-0.6299	0.7236 
569.251	0.3403	-0.6411	0.7256 
569.251	0.3311	-0.6758	0.7300 
569.360	0.3267	-0.6836	0.7358 
569.360	0.3291	-0.6738	0.7261 
569.376	0.3359	-0.6538	0.7212 
569.376	0.3438	-0.6411	0.7261 
569.376	0.3428	-0.6528	0.7329 
569.376	0.3384	-0.6523	0.7354 
569.391	0.3389	-0.6421	0.7271 
569.407	0.3506	-0.6416	0.7246 
569.501	0.3628	-0.6382	0.7275 
569.532	0.3569	-0.6372	0.7153 
569.532	0.3560	-0.6519	0.7036 
569.532	0.3613	-0.6489	0.7085 
569.532	0.3618	-0.6436	0.7119 
569.532	0.3643	-0.6440	0.7168 
569.547	0.3706	-0.6421	0.7144 
569.563	0.3843	-0.6182	0.7061 
569.579	0.3857	-0.6113	0.7002 
569.610	0.3901	-0.6113	0.7017 
569.688	0.3853	-0.6279	0.7124 
569.688	0.3779	-0.6343	0.7100 
569.719	0.3760	-0.6318	0.7051 
569.719	0.3735	-0.6294	0.7129 
569.719	0.3828	-0.6255	0.7188 
569.719	0.3809	-0.6304	0.7095 
569.735	0.3735	-0.6289	0.7065 
569.766	0.3784	-0.6328	0.7129 
569.797	0.3750	-0.6343	0.7192 
