StartTime: 2018-11-11 20:28:49.928
Time(s)	ax(g)	ay(g)	az(g) 
700.518	0.4214	-0.6597	0.6758 
700.518	0.3838	-0.6733	0.6494 
700.533	0.3618	-0.6997	0.6528 
700.549	0.4014	-0.6934	0.6709 
700.580	0.4175	-0.6626	0.6729 
700.611	0.4185	-0.6406	0.6440 
700.658	0.4102	-0.6499	0.6250 
700.658	0.3936	-0.6865	0.6362 
700.690	0.3770	-0.7031	0.6528 
700.690	0.3960	-0.6958	0.6729 
700.705	0.4028	-0.6826	0.6855 
700.736	0.3789	-0.6655	0.6670 
700.736	0.3696	-0.6621	0.6636 
700.752	0.3672	-0.6729	0.6753 
700.799	0.3735	-0.6714	0.7065 
700.830	0.3706	-0.6523	0.7251 
700.830	0.3379	-0.6514	0.7100 
700.846	0.2871	-0.6226	0.7090 
700.955	0.2856	-0.5942	0.7153 
700.986	0.3267	-0.5962	0.7603 
700.986	0.3599	-0.6416	0.8257 
700.986	0.3530	-0.6748	0.8350 
700.986	0.3525	-0.6807	0.8130 
700.986	0.3652	-0.6685	0.7949 
700.986	0.3555	-0.6748	0.7817 
701.018	0.3237	-0.6523	0.7505 
701.033	0.2930	-0.6318	0.7266 
701.033	0.2622	-0.6206	0.6963 
701.080	0.2725	-0.5962	0.6880 
701.096	0.3159	-0.5693	0.7124 
701.096	0.3286	-0.5659	0.7383 
701.127	0.3105	-0.5557	0.7295 
701.236	0.2896	-0.5601	0.7275 
701.236	0.2861	-0.5840	0.7510 
701.252	0.3213	-0.5645	0.7905 
701.252	0.3281	-0.5605	0.7861 
701.252	0.3027	-0.5869	0.7744 
701.252	0.2896	-0.6084	0.7739 
701.252	0.2832	-0.6279	0.7925 
701.283	0.2832	-0.6318	0.7979 
701.393	0.2788	-0.6377	0.7866 
701.393	0.2627	-0.6641	0.7861 
701.408	0.2520	-0.6743	0.7900 
701.408	0.2705	-0.6592	0.7920 
701.408	0.2935	-0.6465	0.8198 
701.408	0.2988	-0.6499	0.8296 
701.408	0.2808	-0.6748	0.8223 
701.440	0.2671	-0.6875	0.8125 
701.502	0.3086	-0.7119	0.8281 
701.533	0.3340	-0.7144	0.8354 
701.533	0.3564	-0.6641	0.7817 
701.533	0.3916	-0.6299	0.7617 
701.533	0.4307	-0.6309	0.7407 
701.549	0.4385	-0.6021	0.7017 
701.565	0.4312	-0.5205	0.6084 
701.596	0.4380	-0.4976	0.5771 
701.627	0.5044	-0.5679	0.6309 
701.627	0.5107	-0.6187	0.6665 
701.658	0.5171	-0.6792	0.7031 
701.690	0.5024	-0.7256	0.7217 
701.690	0.4434	-0.7280	0.7065 
701.768	0.3931	-0.6743	0.6787 
701.783	0.3696	-0.6245	0.6240 
701.783	0.3506	-0.5908	0.6045 
701.783	0.3662	-0.5684	0.6147 
701.799	0.3809	-0.5898	0.6240 
701.815	0.3799	-0.6250	0.6611 
701.846	0.3662	-0.6294	0.6499 
701.846	0.3467	-0.6572	0.6245 
701.877	0.3711	-0.6694	0.6470 
701.971	0.3779	-0.6602	0.6519 
701.971	0.3545	-0.6616	0.6313 
701.987	0.3296	-0.6812	0.6172 
701.987	0.3569	-0.6748	0.6230 
701.987	0.3882	-0.6240	0.6045 
701.987	0.3960	-0.6084	0.5898 
702.002	0.3984	-0.6191	0.5801 
702.018	0.3965	-0.6514	0.5781 
702.049	0.4146	-0.6704	0.6123 
702.080	0.4331	-0.6904	0.6357 
702.158	0.4175	-0.7676	0.6743 
702.174	0.4277	-0.8066	0.7061 
702.174	0.4902	-0.8262	0.8105 
702.174	0.4985	-0.8013	0.8926 
702.174	0.4600	-0.7661	0.8633 
702.190	0.4819	-0.6753	0.8403 
702.205	0.4795	-0.6187	0.8608 
702.237	0.4385	-0.5591	0.7744 
702.252	0.3540	-0.5547	0.7295 
702.268	0.2896	-0.5713	0.7666 
702.362	0.3252	-0.5591	0.8315 
702.393	0.4180	-0.4956	0.9028 
702.393	0.4941	-0.4702	0.9155 
702.393	0.5659	-0.5073	0.9233 
702.393	0.5415	-0.5571	0.8989 
702.408	0.3984	-0.5952	0.8032 
702.408	0.2896	-0.5928	0.7036 
702.424	0.2451	-0.5332	0.6133 
702.440	0.2578	-0.4883	0.6162 
702.471	0.3242	-0.4243	0.6240 
702.549	0.3398	-0.4077	0.6294 
702.549	0.3271	-0.4526	0.6641 
702.580	0.3301	-0.5063	0.7017 
702.580	0.3389	-0.5439	0.7539 
702.580	0.3657	-0.5508	0.7832 
702.596	0.3682	-0.5332	0.7607 
702.627	0.3564	-0.5186	0.7349 
702.627	0.3730	-0.5127	0.7671 
702.658	0.4253	-0.4907	0.7974 
702.736	0.4438	-0.5161	0.8140 
702.736	0.3779	-0.5801	0.8052 
702.768	0.2959	-0.6602	0.7876 
702.768	0.2935	-0.6567	0.7749 
702.768	0.4038	-0.6069	0.8008 
702.768	0.5176	-0.6401	0.8408 
702.783	0.5034	-0.7129	0.8535 
