StartTime: 2018-11-23 19:07:01.106
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
460.877	-0.0176	0.1128	1.0264	4.4275	3.9056	-12.2992	28.5800 
460.897	-0.0151	0.1045	1.0244	4.4220	3.9056	-12.3376	28.5800 
460.952	-0.0142	0.1074	1.0229	4.4220	3.9056	-12.3596	28.5600 
460.954	-0.0103	0.1104	1.0234	4.4275	3.9056	-12.3706	28.5700 
460.956	-0.0161	0.1016	1.0210	4.4275	3.8947	-12.3816	28.5700 
460.976	-0.0171	0.1030	1.0210	4.4275	3.8892	-12.3871	28.5800 
461.009	-0.0176	0.1113	1.0225	4.4275	3.8837	-12.3926	28.5800 
461.016	-0.0186	0.1079	1.0244	4.4220	3.8892	-12.3981	28.5700 
461.036	-0.0234	0.1050	1.0220	4.3945	3.9001	-12.4146	28.5900 
461.056	-0.0215	0.0972	1.0234	4.3506	3.9166	-12.4585	28.5700 
461.076	-0.0132	0.1040	1.0205	4.3066	3.9386	-12.4969	28.5800 
461.096	-0.0181	0.0962	1.0229	4.2682	3.9551	-12.5299	28.5700 
461.155	-0.0186	0.1045	1.0269	4.2133	3.9661	-12.5739	28.5800 
461.158	-0.0220	0.0967	1.0166	4.1693	3.9771	-12.6068	28.5900 
461.158	-0.0283	0.0884	1.0063	4.0979	3.9825	-12.6563	28.5800 
461.175	-0.0293	0.1069	1.0298	3.9990	3.9880	-12.7332	28.5900 
461.195	-0.0439	0.1035	1.0396	3.9111	3.9880	-12.8156	28.5800 
461.215	-0.0449	0.1069	1.0273	3.8232	3.9880	-12.8925	28.5800 
461.235	-0.0513	0.1245	1.0444	3.7573	3.9935	-12.9529	28.5800 
461.255	-0.0522	0.1021	1.0249	3.6475	4.0045	-12.9639	28.5800 
461.275	-0.0410	0.0908	1.0273	3.4717	4.0265	-12.9913	28.5800 
461.295	-0.0464	0.0977	1.0146	3.2410	4.0375	-13.0188	28.5900 
461.347	-0.0547	0.1040	1.0068	2.9883	4.0540	-13.0573	28.6000 
461.350	-0.0601	0.0869	1.0146	2.7521	4.0704	-13.0957	28.5900 
461.354	-0.0571	0.1011	1.0210	2.5543	4.0979	-13.1122	28.5800 
461.374	-0.0508	0.1016	1.0273	2.3785	4.1364	-13.1067	28.5800 
461.394	-0.0376	0.0967	1.0361	2.2247	4.1583	-13.0627	28.6000 
461.414	-0.0366	0.0835	1.0142	2.1039	4.1583	-12.9913	28.5800 
461.434	-0.0371	0.0747	1.0049	1.9885	4.1473	-12.9089	28.5900 
461.454	-0.0347	0.0908	1.0322	1.8347	4.1418	-12.8375	28.5700 
461.474	-0.0317	0.0532	1.0293	1.6040	4.1309	-12.7771	28.5900 
461.493	-0.0400	0.0366	1.0313	1.3788	4.1309	-12.7496	28.5900 
461.515	-0.0464	0.0444	1.0288	1.0931	4.1528	-12.7771	28.5900 
461.534	-0.0537	0.0488	1.0034	0.8514	4.1858	-12.8320	28.5900 
461.585	-0.0293	0.0361	1.0005	0.7141	4.2023	-12.8595	28.5800 
461.587	-0.0063	0.0571	1.0493	0.6537	4.1748	-12.8156	28.5900 
461.593	0.0068	0.0244	1.0308	0.5933	4.1528	-12.7332	28.5900 
461.613	0.0186	0.0264	1.0171	0.4230	4.1473	-12.6672	28.5900 
461.633	-0.0190	0.0527	1.0215	0.2527	4.1418	-12.6398	28.5900 
461.653	-0.0239	0.0566	1.0146	0.1154	4.1309	-12.6727	28.5900 
461.673	-0.0107	0.0752	1.0146	0.0439	4.0979	-12.7167	28.6000 
461.693	-0.0103	0.0063	1.0215	-0.1099	4.0594	-12.7826	28.6000 
461.714	-0.0049	0.0225	1.0239	-0.3735	4.0320	-12.8925	28.5800 
461.732	-0.0063	0.0244	1.0210	-0.5933	4.0045	-13.0243	28.5800 
461.770	-0.0146	0.0552	1.0229	-0.7910	3.9990	-13.2111	28.5800 
461.772	-0.0293	0.0459	1.0186	-0.9558	3.9990	-13.3759	28.5800 
461.792	-0.0317	0.0308	1.0283	-1.0931	3.9935	-13.5132	28.5900 
461.812	-0.0029	0.0166	1.0342	-1.2030	3.9661	-13.5956	28.5800 
461.832	-0.0039	0.0078	1.0225	-1.3074	3.9166	-13.6505	28.5800 
461.852	0.0000	0.0264	1.0151	-1.4777	3.8892	-13.7329	28.5800 
461.872	-0.0288	0.0762	1.0337	-1.5491	3.8342	-13.7274	28.5800 
461.892	-0.0415	-0.0039	1.0000	-1.5601	3.8123	-13.6780	28.5900 
461.912	0.0552	0.1465	1.0967	-1.3293	3.7683	-13.3539	28.5700 
461.967	0.0898	-0.0859	1.0542	-1.0162	3.6475	-12.8156	28.5800 
461.968	0.0303	0.0000	1.0913	-0.7581	3.6420	-12.4915	28.5800 
461.972	-0.0166	0.0581	1.1138	-0.5658	3.6969	-12.1783	28.5800 
461.992	-0.0376	0.0513	1.0581	-0.4285	3.8068	-11.9366	28.5800 
462.012	0.0220	-0.0112	1.0146	-0.4285	3.8947	-11.7004	28.5700 
462.031	0.0220	0.0542	1.0317	-0.4504	3.9825	-11.5356	28.5900 
462.052	0.0195	-0.0259	1.0015	-0.4449	4.0375	-11.3873	28.5700 
462.071	0.0566	-0.0166	1.0029	-0.4889	4.0814	-11.3159	28.5700 
462.091	0.0391	0.0015	1.0044	-0.5273	4.0649	-11.2390	28.5800 
462.111	0.0161	0.0024	0.9897	-0.5603	3.9935	-11.1401	28.5800 
462.159	-0.0117	0.0234	0.9971	-0.6757	3.9111	-11.0577	28.5700 
462.164	-0.0327	0.0225	0.9976	-0.7141	3.8287	-10.9973	28.5800 
462.171	-0.0332	0.0015	0.9746	-0.7086	3.7463	-10.9149	28.6000 
462.190	-0.0229	0.0215	0.9790	-0.7086	3.6584	-10.7941	28.5800 
462.210	0.0000	0.0332	1.0181	-0.6921	3.5706	-10.6403	28.5900 
462.230	0.0444	0.0615	1.0708	-0.6207	3.4772	-10.4865	28.5900 
462.251	0.0693	0.0688	1.0684	-0.4834	3.3728	-10.3876	28.5900 
462.270	0.0859	0.0869	1.0259	-0.3571	3.2794	-10.3766	28.5800 
462.290	0.0723	0.1021	1.0156	-0.2472	3.1915	-10.4535	28.5800 
462.310	0.0205	0.1069	1.0366	-0.2802	3.1476	-10.6128	28.5900 
462.331	0.0098	0.1099	1.0635	-0.3625	3.1421	-10.7831	28.6000 
462.349	0.0366	0.1069	1.0718	-0.4504	3.1586	-10.9479	28.6000 
462.405	0.0498	0.1201	1.0361	-0.5054	3.1696	-11.0962	28.5800 
462.407	0.0488	0.0859	0.9731	-0.5933	3.1586	-11.2610	28.5900 
462.409	0.0322	0.0840	0.9697	-0.7306	3.1421	-11.4478	28.5900 
462.430	0.0410	0.0815	0.9683	-0.9229	3.1421	-11.6345	28.6000 
462.449	0.0522	0.0859	0.9639	-1.1206	3.1421	-11.8158	28.5900 
462.469	0.0474	0.1006	0.9639	-1.2799	3.1476	-12.0245	28.6000 
462.489	0.0347	0.0723	0.9702	-1.4227	3.1641	-12.2552	28.5900 
462.510	0.0308	0.0977	0.9995	-1.5491	3.1860	-12.4750	28.5800 
462.531	0.0269	0.0947	1.0068	-1.6479	3.2190	-12.6672	28.5800 
462.549	0.0303	0.1016	1.0215	-1.7303	3.2794	-12.8101	28.5900 
462.595	0.0327	0.1182	1.0293	-1.7798	3.3618	-12.8815	28.5800 
462.597	0.0278	0.1196	1.0405	-1.7633	3.4717	-12.8979	28.5800 
462.609	0.0381	0.1152	1.0400	-1.6919	3.5980	-12.8925	28.5700 
462.629	0.0479	0.1177	1.0405	-1.5985	3.7354	-12.8320	28.5800 
462.648	0.0669	0.1240	1.0693	-1.4777	3.8727	-12.7386	28.5900 
462.669	0.0845	0.1182	1.0981	-1.3184	3.9990	-12.5903	28.5900 
462.689	0.0723	0.1167	1.1172	-1.1316	4.1254	-12.4310	28.5700 
462.708	0.0552	0.1289	1.1235	-0.9778	4.2682	-12.2937	28.5800 
462.731	0.0566	0.1445	1.1333	-0.8185	4.4385	-12.1619	28.6100 
462.784	0.0469	0.1523	1.1519	-0.6042	4.6362	-12.0465	28.6000 
462.786	0.0029	0.1484	1.2031	-0.3461	4.8669	-11.9751	28.6000 
462.788	-0.0059	0.1426	1.1851	-0.0439	5.1031	-11.9312	28.5800 
462.808	0.0220	0.0874	1.1445	0.3186	5.3229	-11.9421	28.5900 
462.828	0.0083	0.0571	1.1519	0.6812	5.5371	-12.0905	28.5900 
462.849	-0.0122	0.0527	1.0962	1.0382	5.7349	-12.3322	28.5800 
462.867	-0.0586	0.0103	1.0078	1.3513	5.8887	-12.6837	28.5800 
462.887	-0.1841	-0.0513	0.8979	1.6699	6.0150	-13.1012	28.6000 
462.908	-0.2344	-0.1094	0.9131	1.9720	6.0754	-13.3704	28.6000 
462.929	-0.2617	-0.1152	1.0215	2.1918	6.1084	-13.4033	28.6100 
462.976	-0.2378	-0.1133	1.0981	2.3126	6.1853	-13.3539	28.5900 
