StartTime: 2018-11-23 19:07:01.106
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
546.082	0.0005	0.0400	1.0303	0.8569	3.5046	-12.6398	27.2500 
546.084	-0.0015	0.0444	1.0366	0.8734	3.4991	-12.6563	27.2700 
546.091	-0.0024	0.0308	1.0386	0.8899	3.4882	-12.6672	27.2700 
546.111	-0.0010	0.0283	1.0293	0.9009	3.4827	-12.6892	27.2500 
546.131	0.0073	0.0381	1.0244	0.9064	3.4772	-12.7057	27.2600 
546.151	0.0034	0.0347	1.0186	0.9174	3.4772	-12.7222	27.2600 
546.171	-0.0078	0.0420	1.0259	0.9009	3.4827	-12.7277	27.2600 
546.191	-0.0068	0.0366	1.0288	0.8734	3.4882	-12.7112	27.2500 
546.211	-0.0117	0.0327	1.0327	0.8240	3.4827	-12.6837	27.2600 
546.230	-0.0293	0.0303	1.0474	0.7141	3.4772	-12.6453	27.2700 
546.267	-0.0308	0.0156	1.0342	0.5328	3.4882	-12.5903	27.2800 
546.270	-0.0244	0.0264	1.0298	0.3241	3.4991	-12.5409	27.2800 
546.290	-0.0317	0.0156	1.0122	0.0385	3.4991	-12.4805	27.2700 
546.310	-0.0449	0.0029	1.0225	-0.3735	3.5101	-12.4310	27.2500 
546.330	-0.0405	-0.0215	1.0391	-0.9283	3.5486	-12.3926	27.2800 
546.350	-0.0229	-0.0063	1.0303	-1.4447	3.6145	-12.3651	27.2800 
546.370	-0.0547	0.0586	1.0107	-1.9171	3.7189	-12.3376	27.2600 
546.390	-0.0596	0.0532	1.0303	-2.3236	3.8782	-12.2992	27.2600 
546.410	-0.0254	0.0415	1.0825	-2.6147	4.0485	-12.2003	27.2700 
546.455	-0.0386	0.0112	1.0591	-2.8400	4.2297	-12.0959	27.2700 
546.458	-0.0459	-0.0132	0.9683	-3.0157	4.4604	-11.9751	27.2800 
546.469	-0.0425	-0.0010	0.9648	-3.1476	4.7626	-11.9147	27.2800 
546.490	-0.0557	-0.0142	0.9946	-3.2190	5.0867	-11.8597	27.2600 
546.509	-0.0410	-0.0469	1.0005	-3.2080	5.3943	-11.8213	27.2600 
546.529	-0.0889	-0.0122	1.0132	-3.1915	5.7129	-11.9312	27.2600 
546.549	-0.1084	0.0225	1.0859	-3.2300	6.0040	-12.0081	27.2600 
546.569	-0.0664	-0.0298	1.0444	-3.4058	6.2292	-11.9861	27.2600 
546.589	-0.0571	-0.0273	1.0464	-3.4442	6.3446	-11.9531	27.2600 
546.608	-0.0581	-0.0142	1.0303	-3.3838	6.3721	-11.9806	27.2500 
546.628	-0.0894	0.0186	1.0210	-3.3563	6.3391	-12.0520	27.2600 
546.648	-0.1196	0.0142	1.0288	-3.4167	6.2787	-12.1838	27.2700 
546.696	-0.0820	-0.0166	1.0405	-3.4003	6.1469	-12.3212	27.2600 
546.698	-0.0947	0.0015	1.0415	-3.2739	5.9930	-12.5299	27.2800 
546.709	-0.1104	-0.0044	1.0459	-3.1586	5.8447	-12.8265	27.2800 
546.728	-0.1016	0.0142	1.0410	-3.0542	5.6909	-13.1396	27.2700 
546.748	-0.0981	0.0156	1.0303	-2.9498	5.5316	-13.3923	27.2600 
546.768	-0.0405	0.0000	1.0151	-2.9114	5.3558	-13.5736	27.2600 
546.788	-0.0986	0.0107	1.0249	-2.8729	5.1965	-13.7000	27.2600 
546.808	-0.0161	0.0776	1.0415	-2.6587	5.0043	-13.6176	27.2500 
546.827	-0.0317	0.0415	1.0488	-2.3016	4.7626	-13.4088	27.2800 
546.849	-0.0127	-0.0137	1.0332	-1.7633	4.5319	-13.1726	27.2600 
546.884	0.0283	-0.1060	0.9878	-1.4117	4.3176	-13.0737	27.2700 
546.887	0.0386	-0.0112	0.9854	-1.3184	4.1803	-13.2056	27.2600 
546.907	0.0010	0.0308	1.0171	-1.3403	4.1089	-13.4583	27.2700 
546.927	-0.0020	0.0122	1.0132	-1.4008	4.0594	-13.6450	27.2800 
546.946	0.0156	0.0449	1.0059	-1.4612	3.9935	-13.7000	27.2900 
546.967	0.0488	0.0483	1.0581	-1.3403	3.9386	-13.7054	27.2700 
546.986	0.0879	0.0000	1.0918	-1.2140	3.8507	-13.6066	27.2700 
547.007	0.1230	0.0371	1.0845	-1.1865	3.7354	-13.4308	27.2900 
547.029	0.0894	0.0825	1.0620	-1.0712	3.6145	-13.3099	27.2800 
547.077	-0.0161	0.0942	1.0493	-0.9888	3.5321	-13.2770	27.2800 
547.079	-0.0371	0.0991	1.0576	-0.9338	3.4772	-13.2166	27.2800 
547.086	-0.0151	0.1035	1.0415	-0.7306	3.4772	-13.1287	27.2800 
547.106	0.0322	0.1030	0.9946	-0.4340	3.5101	-13.0023	27.2800 
547.126	0.0742	0.0645	0.9478	-0.1758	3.5211	-12.7826	27.2800 
547.147	0.0747	0.0688	0.9619	-0.0604	3.5211	-12.5903	27.2600 
547.166	0.0596	0.0728	0.9795	-0.0330	3.5486	-12.4969	27.2700 
547.186	0.0503	0.1348	0.9961	-0.0824	3.5760	-12.4091	27.2800 
547.206	0.0527	0.1104	0.9829	0.0000	3.6035	-12.3102	27.2700 
547.227	0.0532	0.0854	0.9673	0.1813	3.6255	-12.1948	27.2700 
547.259	0.0576	0.0986	0.9751	0.3296	3.6584	-12.0685	27.2700 
547.266	0.0674	0.1196	1.0010	0.3900	3.6969	-11.9037	27.2800 
547.285	0.0669	0.1460	1.0239	0.4395	3.7354	-11.6949	27.2800 
547.305	0.0454	0.1475	1.0146	0.5823	3.7793	-11.5082	27.2800 
547.325	0.0396	0.1626	1.0103	0.7745	3.8232	-11.3269	27.2800 
547.346	0.0298	0.1655	1.0000	1.0382	3.8837	-11.1401	27.2700 
