0.6000	9.4500	11.1939	6.0299
1.2000	8.8500	10.6922	6.1188
1.8000	8.2500	10.2011	6.2642
2.4000	7.6500	9.7223	6.4622
3.0000	7.0500	9.2576	6.7082
3.6000	6.4500	8.8092	6.9971
4.2000	5.8500	8.3799	7.3239
4.8000	5.2500	7.9726	7.6837
5.4000	4.6500	7.5909	8.0722
6.0000	4.0500	7.2390	8.4853
6.6000	3.4500	6.9212	8.9196
7.2000	2.8500	6.6425	9.3723
7.8000	2.2500	6.4080	9.8407
7.8230	2.3286	5.8500	9.4868
7.8918	2.5500	5.3012	9.1586
8.0050	2.8814	4.7647	8.8589
8.1609	3.2898	4.2453	8.5907
8.3570	3.7500	3.7500	8.3570
8.5907	4.2453	3.2898	8.1609
8.8589	4.7647	2.8814	8.0050
9.1586	5.3012	2.5500	7.8918
9.4868	5.8500	2.3286	7.8230
9.8407	6.4080	2.2500	7.8000
9.3723	6.6425	2.8500	7.2000
8.9196	6.9212	3.4500	6.6000
8.4853	7.2390	4.0500	6.0000
8.0722	7.5909	4.6500	5.4000
7.6837	7.9726	5.2500	4.8000
7.3239	8.3799	5.8500	4.2000
6.9971	8.8092	6.4500	3.6000
6.7082	9.2576	7.0500	3.0000
6.4622	9.7223	7.6500	2.4000
6.2642	10.2011	8.2500	1.8000
6.1188	10.6922	8.8500	1.2000
6.0299	11.1939	9.4500	0.6000
