0.6717	10.1380	11.8198	5.9432
1.2416	9.6374	11.5451	6.1229
1.7738	9.0956	10.8267	6.2235
2.4040	8.2300	10.4427	6.4067
2.9934	7.7692	10.0550	6.6995
3.6646	7.0445	9.4746	6.9162
4.1559	6.6407	9.0971	7.2814
4.8163	6.1878	8.8517	7.5836
5.3877	5.4401	8.3170	7.9776
6.0129	4.7185	7.6736	8.3430
6.6689	3.9958	7.6226	8.8013
7.2441	3.5052	7.4411	9.3314
7.8213	2.9632	7.0687	9.7574
7.8675	3.1785	6.3845	9.4912
7.9297	3.2428	6.1870	9.0908
8.1225	3.8517	5.4489	8.8475
8.2013	3.9702	5.2481	8.5579
8.4382	4.4290	4.5114	8.3033
8.5746	4.9846	3.9344	8.1238
8.8164	5.4648	3.6654	8.0514
9.1289	6.0989	3.0980	7.8504
9.5722	6.5684	2.9932	7.7357
9.8136	6.9988	3.0202	7.8256
9.3297	7.2954	3.6399	7.2234
8.8628	7.8149	4.1789	6.5745
8.4842	7.9937	4.8088	5.9835
8.1176	8.3895	5.2851	5.4284
7.8499	8.6892	6.1332	4.8154
7.3334	9.3195	6.6112	4.0243
7.0679	9.5106	7.0984	3.5549
6.8332	9.9991	7.8031	2.8719
6.5531	10.4575	8.4828	2.2960
6.2243	10.8533	8.7909	1.8229
6.1461	11.4343	9.4674	1.1603
6.0352	11.9287	10.2799	0.6198
