0.4717	9.8380	10.7698	5.7432
1.0416	9.3374	10.5951	5.9229
1.5738	8.7956	9.8767	6.0235
2.2040	7.5300	9.4927	6.2067
2.7934	7.2692	9.1050	6.3995
3.4646	7.0445	8.5246	6.6162
3.9559	6.1407	8.1471	6.9814
4.5163	6.1878	7.9017	7.2836
5.0877	4.9401	7.7170	7.5776
5.5129	4.7185	7.6736	7.9430
6.2689	3.9958	7.6226	8.4013
6.6441	3.5052	6.8411	9.0814
7.1213	2.9632	7.0687	9.2574
7.2675	3.1785	6.3845	9.1912
7.3297	2.9428	5.5870	8.6908
7.5225	3.3517	5.4489	8.4475
7.6013	3.4702	5.2481	8.1579
7.8382	3.9290	4.5114	7.9033
7.9746	4.4846	3.7344	7.7238
8.2164	4.9648	3.2654	7.7514
8.5289	5.7989	3.0980	7.4504
8.9722	6.1184	2.9932	7.7357
9.2136	6.5488	2.6202	7.4256
8.7297	6.8454	3.1899	6.8234
8.2628	7.4149	3.6789	6.1745
7.8842	6.7937	4.3088	5.6835
7.5176	7.5895	4.7851	5.1284
7.2499	7.8892	5.6332	4.6154
6.7334	8.5195	5.9112	4.0243
6.4679	8.7106	6.3984	3.5549
6.2332	8.8491	7.1031	2.8719
6.1531	9.9575	7.7828	2.2960
5.8243	10.2533	8.0909	1.8229
5.7461	10.4343	8.7674	1.1603
5.5352	10.3287	9.5799	0.6198
