StartTime: 2018-11-15 20:11:00.594
Time(s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
1792.468	8.2013	4.0814	-7.8113	0.0000 
1792.507	8.1738	4.0869	-7.8333	0.0000 
1792.516	8.1738	4.0649	-7.8387	0.0000 
1792.528	8.1738	4.0375	-7.8772	0.0000 
1792.547	8.1738	4.0375	-7.9651	0.0000 
1792.567	8.1628	4.0540	-8.0859	0.0000 
1792.587	8.1519	4.0869	-8.2068	0.0000 
1792.659	8.1464	4.1254	-8.3276	0.0000 
1792.671	8.1409	4.1583	-8.4155	0.0000 
1792.671	8.1354	4.1693	-8.4869	0.0000 
1792.677	8.1299	4.1858	-8.5803	0.0000 
1792.691	8.1189	4.2133	-8.7012	0.0000 
1792.714	8.0914	4.2517	-8.8550	0.0000 
1792.736	8.0530	4.3176	-9.0527	0.0000 
1792.746	8.0145	4.3835	-9.2560	0.0000 
1792.765	7.9926	4.4275	-9.4318	0.0000 
1792.838	7.9816	4.4495	-9.6075	0.0000 
1792.848	7.9486	4.4550	-9.8163	0.0000 
1792.848	7.9102	4.4769	-10.0415	0.0000 
1792.855	7.8387	4.5044	-10.2557	0.0000 
1792.870	7.7728	4.5264	-10.4590	0.0000 
1792.891	7.7014	4.5319	-10.6622	0.0000 
1792.914	7.6025	4.5264	-10.8875	0.0000 
1792.926	7.4872	4.5264	-11.1292	0.0000 
1793.014	7.3553	4.5209	-11.3434	0.0000 
1793.025	7.2400	4.5099	-11.5082	0.0000 
1793.025	7.1301	4.4879	-11.6235	0.0000 
1793.025	6.9873	4.4824	-11.7444	0.0000 
1793.031	6.8060	4.4934	-11.8982	0.0000 
1793.046	6.6083	4.4879	-12.0465	0.0000 
1793.068	6.4270	4.4275	-12.1344	0.0000 
1793.091	6.2732	4.3121	-12.1399	0.0000 
1793.116	6.1523	4.1858	-12.1014	0.0000 
1793.124	6.0590	4.0869	-12.0410	0.0000 
1793.144	5.9656	4.0265	-11.9586	0.0000 
1793.164	5.8832	3.9935	-11.8817	0.0000 
1793.240	5.8173	3.9771	-11.8158	0.0000 
1793.251	5.7513	3.9386	-11.7444	0.0000 
1793.251	5.7074	3.8892	-11.6840	0.0000 
1793.251	5.6744	3.8232	-11.6235	0.0000 
1793.273	5.6689	3.7408	-11.5356	0.0000 
1793.284	5.6799	3.6530	-11.4038	0.0000 
1793.303	5.7129	3.5815	-11.2555	0.0000 
1793.323	5.7623	3.5211	-11.1127	0.0000 
1793.343	5.8337	3.4607	-10.9698	0.0000 
1793.363	5.9106	3.3893	-10.8160	0.0000 
1793.383	5.9930	3.2959	-10.6293	0.0000 
1793.475	6.0754	3.1750	-10.3986	0.0000 
1793.481	6.1853	3.0432	-10.1294	0.0000 
1793.481	6.3281	2.9059	-9.8438	0.0000 
1793.481	6.4984	2.7905	-9.5416	0.0000 
1793.487	6.6412	2.6917	-9.2175	0.0000 
1793.509	6.7401	2.6257	-8.8605	0.0000 
1793.531	6.8115	2.5873	-8.4814	0.0000 
1793.553	6.9104	2.5488	-8.0475	0.0000 
1793.562	7.0587	2.5104	-7.5861	0.0000 
1793.651	7.2455	2.4664	-7.1246	0.0000 
1793.658	7.4487	2.4060	-6.6907	0.0000 
1793.658	7.5916	2.3401	-6.2732	0.0000 
1793.658	7.6300	2.3071	-5.9161	0.0000 
1793.664	7.6575	2.2742	-5.5920	0.0000 
1793.684	7.7509	2.1808	-5.1855	0.0000 
1793.706	7.8882	2.0105	-4.7241	0.0000 
1793.726	8.0145	1.8567	-4.3176	0.0000 
1793.747	8.0750	1.7688	-4.0265	0.0000 
1793.826	8.0585	1.7578	-3.8123	0.0000 
1793.837	8.0365	1.7908	-3.6035	0.0000 
1793.837	8.0365	1.8073	-3.3673	0.0000 
1793.838	8.0310	1.8182	-3.1915	0.0000 
1793.844	8.0090	1.8457	-3.1421	0.0000 
1793.860	7.9211	1.9006	-3.2300	0.0000 
1793.880	7.8003	1.9501	-3.3234	0.0000 
1793.901	7.6959	1.9611	-3.3124	0.0000 
1793.923	7.6410	1.9556	-3.2135	0.0000 
1793.947	7.6410	1.9940	-3.0981	0.0000 
1793.970	7.6410	2.0929	-3.0322	0.0000 
1793.979	7.6190	2.2522	-3.0212	0.0000 
1794.060	7.5970	2.4225	-3.0212	0.0000 
1794.071	7.5970	2.5818	-2.9993	0.0000 
1794.072	7.6025	2.7191	-2.9993	0.0000 
1794.072	7.6025	2.8564	-3.0597	0.0000 
1794.079	7.5696	3.0048	-3.1915	0.0000 
1794.099	7.5476	3.1476	-3.3618	0.0000 
1794.119	7.5586	3.2684	-3.5541	0.0000 
1794.138	7.6135	3.3728	-3.7848	0.0000 
1794.158	7.7069	3.4662	-4.0540	0.0000 
1794.179	7.8168	3.5266	-4.3341	0.0000 
1794.203	7.9706	3.5760	-4.6198	0.0000 
1794.293	8.1519	3.6200	-4.8834	0.0000 
1794.299	8.3441	3.6530	-5.0867	0.0000 
1794.299	8.4979	3.6694	-5.2570	0.0000 
1794.299	8.6353	3.6530	-5.4327	0.0000 
1794.299	8.7616	3.6420	-5.6580	0.0000 
1794.326	8.8330	3.6035	-5.9436	0.0000 
1794.351	8.9209	3.5321	-6.2183	0.0000 
1794.359	9.0417	3.4497	-6.3831	0.0000 
1794.378	9.1956	3.3838	-6.4819	0.0000 
1794.398	9.3329	3.3124	-6.5588	0.0000 
1794.472	9.3549	3.2794	-6.7346	0.0000 
1794.483	9.3329	3.2959	-6.9873	0.0000 
1794.484	9.3164	3.2904	-7.2070	0.0000 
1794.484	9.2944	3.2520	-7.3663	0.0000 
1794.505	9.2944	3.1970	-7.4872	0.0000 
1794.524	9.2725	3.1476	-7.5201	0.0000 
1794.546	9.2120	3.1201	-7.4927	0.0000 
1794.557	9.1351	3.1256	-7.4652	0.0000 
1794.643	9.0417	3.1586	-7.4597	0.0000 
1794.649	8.8989	3.1805	-7.4377	0.0000 
1794.649	8.7286	3.1915	-7.3499	0.0000 
1794.649	8.5364	3.1586	-7.1741	0.0000 
1794.656	8.3221	3.1366	-6.9708	0.0000 
1794.676	8.1409	3.1641	-6.8005	0.0000 
1794.698	8.0200	3.2190	-6.6742	0.0000 
1794.721	7.9047	3.2794	-6.5588	0.0000 
1794.741	7.7893	3.3398	-6.4545	0.0000 
1794.762	7.6849	3.3783	-6.3062	0.0000 
1794.785	7.5970	3.3893	-6.0974	0.0000 
1794.795	7.5751	3.3838	-5.8282	0.0000 
1794.875	7.6190	3.3563	-5.4932	0.0000 
1794.882	7.7124	3.3124	-5.1306	0.0000 
1794.882	7.8333	3.2849	-4.7626	0.0000 
1794.882	7.9596	3.2794	-4.3890	0.0000 
1794.895	8.0859	3.3124	-4.0430	0.0000 
1794.915	8.2288	3.3618	-3.6914	0.0000 
1794.935	8.3771	3.4113	-3.3344	0.0000 
1794.955	8.5364	3.4497	-2.9553	0.0000 
1794.975	8.6847	3.4937	-2.5543	0.0000 
1795.049	8.8000	3.5046	-2.2137	0.0000 
1795.060	8.9539	3.4772	-1.9446	0.0000 
