StartTime: 2018-11-15 20:11:00.594
Time(s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
1969.851	10.4315	20.3082	-4.7900	0.0000 
1969.872	10.3821	20.3137	-4.9438	0.0000 
1969.892	10.3326	20.3247	-5.1086	0.0000 
1969.960	10.3436	20.3302	-5.2350	0.0000 
1969.970	10.3491	20.3082	-5.3503	0.0000 
1969.970	10.3107	20.2972	-5.5151	0.0000 
1969.970	10.2832	20.3082	-5.6909	0.0000 
1969.991	10.2612	20.3082	-5.8392	0.0000 
1970.004	10.2557	20.3137	-5.9930	0.0000 
1970.024	10.2448	20.3247	-6.1743	0.0000 
1970.043	10.2173	20.3357	-6.3721	0.0000 
1970.124	10.1953	20.3467	-6.5588	0.0000 
1970.130	10.1459	20.3577	-6.7346	0.0000 
1970.130	10.1019	20.3851	-6.9159	0.0000 
1970.130	10.0470	20.4291	-7.1136	0.0000 
1970.143	9.9866	20.4895	-7.3279	0.0000 
1970.163	9.8987	20.5609	-7.5751	0.0000 
1970.184	9.8108	20.6598	-7.8333	0.0000 
1970.203	9.7284	20.7751	-8.0859	0.0000 
1970.222	9.6515	20.8795	-8.3331	0.0000 
1970.243	9.5636	20.9619	-8.5803	0.0000 
1970.267	9.4647	21.0278	-8.8440	0.0000 
1970.335	9.3658	21.0938	-9.0967	0.0000 
1970.349	9.2834	21.1432	-9.2999	0.0000 
1970.349	9.1791	21.1432	-9.4537	0.0000 
1970.349	9.0747	21.1267	-9.6075	0.0000 
1970.366	8.9758	21.1157	-9.7559	0.0000 
1970.389	8.8989	21.1047	-9.8932	0.0000 
1970.409	8.8055	21.0773	-10.0305	0.0000 
1970.423	8.7012	21.0443	-10.1843	0.0000 
1970.442	8.5968	21.0059	-10.3217	0.0000 
1970.461	8.5089	20.9290	-10.3986	0.0000 
1970.481	8.4705	20.8301	-10.4041	0.0000 
1970.559	8.4485	20.7202	-10.3876	0.0000 
1970.565	8.3990	20.6433	-10.4041	0.0000 
1970.565	8.3276	20.5994	-10.4645	0.0000 
1970.566	8.2343	20.5554	-10.5194	0.0000 
1970.581	8.1464	20.5060	-10.5798	0.0000 
1970.600	8.0640	20.4510	-10.6512	0.0000 
1970.620	7.9816	20.3796	-10.7281	0.0000 
1970.640	7.8827	20.3027	-10.7941	0.0000 
1970.660	7.8333	20.2423	-10.8270	0.0000 
1970.680	7.8333	20.1654	-10.7831	0.0000 
1970.699	7.8387	20.0885	-10.7062	0.0000 
1970.780	7.8607	20.0336	-10.6293	0.0000 
1970.787	7.8882	19.9896	-10.5249	0.0000 
1970.787	7.9706	19.9402	-10.3711	0.0000 
