StartTime: 2018-11-15 20:11:00.594
Time(s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
1858.716	9.2999	5.0867	175.6055	0.0000 
1858.737	9.2889	5.1141	175.6055	0.0000 
1858.757	9.2725	5.1306	175.6165	0.0000 
1858.780	9.2615	5.1526	175.6274	0.0000 
1858.856	9.2615	5.1910	175.6494	0.0000 
1858.867	9.2670	5.2185	175.6604	0.0000 
1858.867	9.2560	5.2515	175.6659	0.0000 
1858.867	9.2560	5.2789	175.6824	0.0000 
1858.876	9.2450	5.3064	175.6879	0.0000 
1858.896	9.2340	5.3284	175.6934	0.0000 
1858.915	9.2230	5.3558	175.7153	0.0000 
1858.935	9.2010	5.3613	175.7318	0.0000 
1858.955	9.1681	5.3668	175.7373	0.0000 
1859.030	9.1351	5.3723	175.7483	0.0000 
1859.042	9.0967	5.3668	175.7483	0.0000 
1859.042	9.0472	5.3613	175.7483	0.0000 
1859.043	9.0033	5.3503	175.7538	0.0000 
1859.063	8.9484	5.3229	175.7538	0.0000 
1859.084	8.8770	5.3119	175.7538	0.0000 
1859.095	8.8165	5.3009	175.7648	0.0000 
1859.114	8.7561	5.2789	175.7703	0.0000 
1859.134	8.6792	5.2570	175.7373	0.0000 
1859.154	8.5968	5.2515	175.6934	0.0000 
1859.176	8.5144	5.2460	175.6384	0.0000 
1859.264	8.4265	5.2350	175.5725	0.0000 
1859.271	8.3331	5.2240	175.5066	0.0000 
1859.271	8.2288	5.2295	175.4352	0.0000 
1859.271	8.1134	5.2460	175.3418	0.0000 
1859.277	8.0035	5.2625	175.2209	0.0000 
1859.296	7.8937	5.2625	175.0726	0.0000 
1859.318	7.7948	5.2570	174.8639	0.0000 
1859.340	7.7124	5.2625	174.6222	0.0000 
1859.362	7.6245	5.2844	174.3695	0.0000 
1859.438	7.5311	5.2954	174.1443	0.0000 
1859.450	7.4377	5.2844	173.9575	0.0000 
1859.450	7.3718	5.2515	173.8147	0.0000 
1859.450	7.2949	5.2240	173.6938	0.0000 
1859.456	7.1741	5.2350	173.5785	0.0000 
1859.472	7.0258	5.2570	173.4521	0.0000 
1859.497	6.8774	5.2734	173.3148	0.0000 
1859.515	6.7566	5.2625	173.1720	0.0000 
1859.537	6.6467	5.2240	173.0127	0.0000 
1859.558	6.5259	5.1636	172.8644	0.0000 
1859.580	6.3940	5.0867	172.7325	0.0000 
1859.602	6.2622	5.0043	172.6337	0.0000 
1859.675	6.1798	4.9219	172.5952	0.0000 
1859.685	6.1249	4.8615	172.5677	0.0000 
1859.686	6.1084	4.8285	172.5897	0.0000 
1859.686	6.1249	4.7955	172.6611	0.0000 
1859.692	6.1523	4.7461	172.7271	0.0000 
1859.712	6.1798	4.6967	172.7930	0.0000 
1859.731	6.2128	4.6692	172.8644	0.0000 
1859.751	6.2567	4.6582	172.9413	0.0000 
1859.773	6.3116	4.6527	173.0457	0.0000 
1859.849	6.3885	4.6362	173.2104	0.0000 
1859.861	6.4600	4.6198	173.4247	0.0000 
1859.861	6.5259	4.6033	173.6334	0.0000 
1859.861	6.5863	4.5758	173.8147	0.0000 
1859.871	6.6632	4.5319	173.9850	0.0000 
1859.891	6.7566	4.4495	174.1827	0.0000 
1859.910	6.8939	4.3121	174.5013	0.0000 
1859.930	7.0532	4.1473	174.9023	0.0000 
1859.950	7.2894	3.9990	175.2814	0.0000 
1859.970	7.5037	3.8727	175.6494	0.0000 
1859.990	7.5861	3.8177	176.0449	0.0000 
1860.083	7.5531	3.8013	176.4459	0.0000 
1860.089	7.5366	3.7793	176.8799	0.0000 
1860.089	7.5586	3.7518	177.2754	0.0000 
1860.089	7.5916	3.7573	177.5555	0.0000 
1860.095	7.6190	3.7683	177.7643	0.0000 
1860.114	7.6245	3.7628	177.9840	0.0000 
