StartTime: 2018-11-15 20:11:00.594
Time(s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
2061.612	9.9261	17.8802	-9.2395	0.0000 
2061.635	9.9042	17.8802	-9.2450	0.0000 
2061.644	9.8712	17.8802	-9.2230	0.0000 
2061.664	9.8602	17.8638	-9.1681	0.0000 
2061.683	9.8492	17.8363	-9.1132	0.0000 
2061.758	9.8163	17.8143	-9.0692	0.0000 
2061.768	9.7998	17.8198	-9.0198	0.0000 
2061.769	9.8053	17.8198	-8.9264	0.0000 
2061.769	9.8273	17.8033	-8.8000	0.0000 
2061.791	9.8492	17.7869	-8.6462	0.0000 
2061.813	9.8932	17.7759	-8.4760	0.0000 
2061.824	9.9152	17.7649	-8.2837	0.0000 
2061.843	9.9536	17.7594	-8.0804	0.0000 
2061.862	10.0085	17.7484	-7.8442	0.0000 
2061.882	10.0745	17.7484	-7.5641	0.0000 
2061.902	10.1459	17.7704	-7.2729	0.0000 
2061.989	10.2228	17.7814	-6.9324	0.0000 
2061.995	10.2942	17.7539	-6.5259	0.0000 
2061.995	10.3326	17.6990	-6.1029	0.0000 
2061.995	10.3491	17.6495	-5.6964	0.0000 
2062.002	10.3656	17.6111	-5.3009	0.0000 
2062.022	10.3931	17.5452	-4.9109	0.0000 
2062.044	10.4095	17.4463	-4.5593	0.0000 
2062.067	10.3656	17.3584	-4.3066	0.0000 
2062.091	10.3107	17.3090	-4.1254	0.0000 
2062.164	10.2887	17.2980	-3.9771	0.0000 
2062.175	10.2942	17.2705	-3.8177	0.0000 
2062.175	10.2722	17.2321	-3.7024	0.0000 
2062.175	10.2173	17.2046	-3.6639	0.0000 
2062.181	10.1404	17.1991	-3.6749	0.0000 
2062.200	10.0635	17.2046	-3.7079	0.0000 
2062.220	9.9701	17.1991	-3.7958	0.0000 
2062.241	9.8547	17.1991	-3.9441	0.0000 
2062.262	9.7174	17.2101	-4.1254	0.0000 
2062.284	9.5856	17.2211	-4.2627	0.0000 
2062.307	9.4812	17.2266	-4.3066	0.0000 
2062.394	9.3878	17.2321	-4.2902	0.0000 
2062.400	9.2889	17.2540	-4.2847	0.0000 
2062.400	9.1846	17.3035	-4.3066	0.0000 
2062.400	9.0857	17.3804	-4.3451	0.0000 
2062.400	8.9648	17.4408	-4.3781	0.0000 
2062.426	8.8220	17.4738	-4.4000	0.0000 
2062.448	8.7067	17.5342	-4.4385	0.0000 
2062.460	8.6133	17.6056	-4.4769	0.0000 
2062.486	8.5199	17.6550	-4.4659	0.0000 
2062.514	8.4155	17.7100	-4.4440	0.0000 
2062.531	8.3002	17.7649	-4.4220	0.0000 
2062.539	8.2288	17.8088	-4.3781	0.0000 
2062.558	8.1409	17.8528	-4.3506	0.0000 
2062.644	7.9871	17.8857	-4.3726	0.0000 
2062.651	7.8442	17.9132	-4.4000	0.0000 
2062.651	7.7563	17.9132	-4.3890	0.0000 
2062.651	7.6630	17.8693	-4.3451	0.0000 
2062.658	7.5696	17.8088	-4.3176	0.0000 
2062.677	7.5366	17.7869	-4.2792	0.0000 
2062.699	7.5696	17.7814	-4.1913	0.0000 
2062.720	7.5421	17.7924	-4.1034	0.0000 
2062.742	7.4487	17.8363	-4.0759	0.0000 
2062.816	7.3608	17.8967	-4.0759	0.0000 
2062.827	7.2949	17.9407	-4.0759	0.0000 
2062.827	7.2290	17.9681	-4.0979	0.0000 
2062.827	7.1631	17.9736	-4.1364	0.0000 
2062.837	7.1082	17.9846	-4.1913	0.0000 
2062.856	7.0477	17.9956	-4.2627	0.0000 
2062.876	7.0313	18.0121	-4.3121	0.0000 
2062.896	7.0477	18.0231	-4.3396	0.0000 
2062.916	7.0752	18.0505	-4.4000	0.0000 
2062.993	7.0862	18.1000	-4.5264	0.0000 
2063.004	7.0642	18.1879	-4.7131	0.0000 
2063.004	7.0642	18.2648	-4.8779	0.0000 
2063.004	7.0807	18.3197	-5.0317	0.0000 
2063.026	7.0972	18.3691	-5.2240	0.0000 
2063.037	7.1576	18.4406	-5.4437	0.0000 
2063.056	7.2510	18.5065	-5.6689	0.0000 
2063.076	7.3553	18.5394	-5.8997	0.0000 
2063.096	7.4487	18.5834	-6.1578	0.0000 
2063.167	7.5421	18.6383	-6.4545	0.0000 
2063.177	7.6135	18.6987	-6.7841	0.0000 
2063.178	7.7069	18.7262	-7.1027	0.0000 
2063.184	7.8278	18.7372	-7.4213	0.0000 
2063.201	7.9431	18.7207	-7.7234	0.0000 
2063.223	8.0969	18.6877	-7.9486	0.0000 
2063.244	8.2892	18.6328	-8.0750	0.0000 
2063.266	8.5199	18.6053	-8.1573	0.0000 
2063.276	8.7341	18.6548	-8.2947	0.0000 
2063.294	8.8989	18.7482	-8.4979	0.0000 
2063.314	9.0253	18.8361	-8.7561	0.0000 
2063.398	9.1351	18.9075	-9.0472	0.0000 
2063.405	9.2340	18.9514	-9.3274	0.0000 
2063.405	9.2725	18.9624	-9.5856	0.0000 
2063.405	9.2670	18.9075	-9.7833	0.0000 
2063.414	9.2175	18.8306	-9.9426	0.0000 
2063.434	9.1351	18.7482	-10.0800	0.0000 
2063.454	9.0198	18.6273	-10.2118	0.0000 
2063.475	8.9209	18.4680	-10.2887	0.0000 
2063.496	8.8440	18.2867	-10.3217	0.0000 
2063.517	8.7671	18.1165	-10.3217	0.0000 
2063.540	8.6627	17.9736	-10.3271	0.0000 
2063.630	8.5474	17.8638	-10.3271	0.0000 
2063.637	8.4265	17.7429	-10.3162	0.0000 
2063.637	8.3167	17.6166	-10.3052	0.0000 
2063.637	8.2123	17.4792	-10.2887	0.0000 
2063.638	8.1299	17.3254	-10.2502	0.0000 
2063.661	8.0475	17.1552	-10.1788	0.0000 
2063.673	7.9651	16.9794	-10.0690	0.0000 
2063.692	7.9102	16.8091	-9.9316	0.0000 
2063.712	7.8552	16.6553	-9.7723	0.0000 
2063.732	7.8278	16.5454	-9.5691	0.0000 
2063.802	7.8333	16.4465	-9.2834	0.0000 
2063.813	7.8827	16.3751	-8.9209	0.0000 
2063.814	7.9651	16.3202	-8.5144	0.0000 
2063.820	8.0530	16.2817	-8.1079	0.0000 
2063.837	8.1519	16.2762	-7.7179	0.0000 
2063.859	8.2343	16.2762	-7.3499	0.0000 
2063.872	8.3112	16.2817	-6.9763	0.0000 
2063.891	8.3826	16.2982	-6.5918	0.0000 
2063.978	8.4760	16.3477	-6.1908	0.0000 
2063.984	8.6078	16.3971	-5.7349	0.0000 
2063.984	8.7506	16.4410	-5.2405	0.0000 
2063.984	8.9429	16.4795	-4.7021	0.0000 
2063.990	9.1241	16.5070	-4.1968	0.0000 
2064.010	9.3164	16.5289	-3.7518	0.0000 
2064.033	9.5087	16.6388	-3.4058	0.0000 
2064.055	9.6790	16.8091	-3.1531	0.0000 
2064.076	9.8547	16.9080	-2.8400	0.0000 
2064.099	9.9701	16.8530	-2.4829	0.0000 
2064.110	10.0140	16.7322	-2.1094	0.0000 
2064.130	10.0909	16.6553	-1.7413	0.0000 
2064.210	10.1239	16.6498	-1.4502	0.0000 
2064.216	10.0580	16.6937	-1.2524	0.0000 
2064.216	9.8932	16.7816	-1.1755	0.0000 
2064.216	9.6899	16.8640	-1.1096	0.0000 
2064.229	9.5361	16.9025	-0.9668	0.0000 
2064.249	9.4592	16.8860	-0.7471	0.0000 
2064.269	9.4263	16.8256	-0.5109	0.0000 
2064.289	9.4208	16.7377	-0.3076	0.0000 
2064.309	9.3768	16.6553	-0.1978	0.0000 
2064.380	9.3054	16.6388	-0.2032	0.0000 
2064.391	9.2230	16.6663	-0.2527	0.0000 
2064.391	9.1351	16.6882	-0.2582	0.0000 
2064.397	9.0198	16.6992	-0.2362	0.0000 
2064.414	8.8934	16.7047	-0.1813	0.0000 
2064.435	8.7781	16.7157	-0.1318	0.0000 
2064.457	8.6737	16.7212	-0.0989	0.0000 
2064.477	8.5748	16.7267	-0.1044	0.0000 
2064.490	8.4650	16.7267	-0.1758	0.0000 
2064.508	8.3771	16.7157	-0.2527	0.0000 
2064.528	8.3112	16.6882	-0.3241	0.0000 
2064.615	8.2727	16.6663	-0.4175	0.0000 
2064.621	8.2507	16.6827	-0.5988	0.0000 
2064.621	8.2562	16.7212	-0.8130	0.0000 
2064.621	8.2672	16.7487	-1.0272	0.0000 
2064.628	8.2507	16.7047	-1.2415	0.0000 
2064.648	8.2288	16.5344	-1.4337	0.0000 
2064.668	8.2233	16.3586	-1.6589	0.0000 
2064.692	8.2343	16.1993	-1.8787	0.0000 
2064.715	8.2452	16.0291	-2.0050	0.0000 
2064.736	8.3276	15.8972	-2.0270	0.0000 
2064.746	8.4320	15.8478	-2.0050	0.0000 
2064.766	8.5803	15.8423	-1.9775	0.0000 
2064.836	8.6737	15.8423	-2.0160	0.0000 
2064.847	8.6462	15.8588	-2.1808	0.0000 
2064.847	8.5583	15.8313	-2.3401	0.0000 
2064.854	8.4595	15.7874	-2.4664	0.0000 
2064.869	8.3276	15.7159	-2.5488	0.0000 
2064.891	8.1903	15.6500	-2.5928	0.0000 
2064.913	8.0914	15.6390	-2.5598	0.0000 
2064.934	7.9980	15.6830	-2.4994	0.0000 
2065.009	7.8772	15.7489	-2.4445	0.0000 
2065.020	7.7454	15.8258	-2.4335	0.0000 
2065.020	7.5751	15.8807	-2.4829	0.0000 
2065.021	7.4103	15.9192	-2.5818	0.0000 
2065.027	7.2620	15.9412	-2.7026	0.0000 
2065.045	7.1576	15.9467	-2.8015	0.0000 
2065.066	7.1136	15.9302	-2.8290	0.0000 
2065.086	7.0697	15.9082	-2.8015	0.0000 
2065.109	7.0477	15.9082	-2.7356	0.0000 
2065.131	7.0313	15.9357	-2.6532	0.0000 
2065.152	6.9818	15.9906	-2.5873	0.0000 
2065.164	6.9379	16.0730	-2.5159	0.0000 
2065.245	6.9159	16.1609	-2.4390	0.0000 
