StartTime: 2018-11-22 16:32:19.868
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
954.931	0.1426	-0.0884	1.0200	-4.8944	-7.2949	4.4604	25.5900 
954.942	0.1455	-0.0864	1.0137	-4.8944	-7.2949	4.4659	25.5700 
954.962	0.1436	-0.0889	1.0195	-4.8999	-7.2949	4.4659	25.5900 
954.981	0.1436	-0.0874	1.0181	-4.8999	-7.2894	4.4769	25.5800 
955.001	0.1431	-0.0889	1.0190	-4.9054	-7.2894	4.4769	25.5900 
955.021	0.1450	-0.0903	1.0225	-4.9109	-7.2894	4.4879	25.5900 
955.042	0.1426	-0.0879	1.0176	-4.9164	-7.2949	4.4934	25.5900 
955.061	0.1460	-0.0879	1.0176	-4.9274	-7.2949	4.4934	25.5800 
955.081	0.1445	-0.0889	1.0176	-4.9438	-7.2894	4.4879	25.6000 
955.101	0.1460	-0.0913	1.0181	-4.9658	-7.2839	4.4879	25.6000 
955.121	0.1436	-0.0933	1.0234	-4.9933	-7.2839	4.4879	25.6000 
955.193	0.1470	-0.0947	1.0215	-5.0208	-7.2839	4.4824	25.5800 
955.196	0.1421	-0.0977	1.0327	-5.0372	-7.2784	4.4659	25.6000 
955.196	0.1406	-0.1084	1.0420	-5.0427	-7.2620	4.4495	25.6000 
955.200	0.1509	-0.0898	1.0117	-5.0098	-7.2290	4.4275	25.5900 
955.220	0.1650	-0.0703	0.9824	-4.9603	-7.1906	4.4220	25.5800 
955.243	0.1450	-0.0835	1.0127	-4.9658	-7.1301	4.4330	25.6000 
955.260	0.1255	-0.1021	1.0356	-5.0098	-7.0587	4.4220	25.5900 
955.280	0.1328	-0.1006	1.0361	-4.9988	-7.0148	4.3945	25.6000 
955.355	0.1504	-0.0923	1.0151	-4.9329	-6.9983	4.3835	25.5900 
955.359	0.1519	-0.0762	0.9956	-4.8450	-6.9763	4.3890	25.5900 
955.359	0.1284	-0.0776	1.0098	-4.7791	-6.9434	4.4055	25.6100 
955.364	0.1270	-0.0869	1.0229	-4.7296	-6.9214	4.3945	25.6000 
955.380	0.1455	-0.0898	1.0166	-4.6527	-6.9159	4.3781	25.6200 
955.400	0.1367	-0.0854	1.0239	-4.5428	-6.9214	4.3506	25.6000 
955.420	0.1494	-0.0635	0.9883	-4.4110	-6.9269	4.3286	25.6000 
