StartTime: 2018-11-17 10:22:35.946
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
240.539	0.0112	0.0244	1.0332	-0.1648	2.8070	-1.3733	21.1900 
240.561	0.0098	0.0259	1.0298	-0.1813	2.8070	-1.3788	21.1900 
240.572	0.0093	0.0273	1.0283	-0.1978	2.8070	-1.3898	21.1900 
240.589	0.0088	0.0264	1.0332	-0.2197	2.8070	-1.4008	21.2000 
240.708	0.0083	0.0264	1.0356	-0.2417	2.8070	-1.4063	21.2000 
240.723	0.0063	0.0229	1.0352	-0.2692	2.8015	-1.4282	21.2000 
240.723	0.0020	0.0244	1.0327	-0.2911	2.8070	-1.4612	21.1900 
240.723	-0.0015	0.0303	1.0293	-0.3076	2.8125	-1.4996	21.1900 
240.723	0.0039	0.0332	1.0264	-0.3241	2.8125	-1.5491	21.1900 
240.723	0.0015	0.0298	1.0298	-0.3461	2.8070	-1.5985	21.1800 
240.730	-0.0020	0.0225	1.0366	-0.3680	2.7905	-1.6479	21.1900 
240.749	-0.0034	0.0181	1.0337	-0.3955	2.7686	-1.6919	21.1900 
240.769	0.0005	0.0283	1.0264	-0.4175	2.7411	-1.7413	21.1900 
240.791	0.0015	0.0254	1.0264	-0.4504	2.7081	-1.7963	21.1900 
240.814	0.0005	0.0063	1.0337	-0.4944	2.6697	-1.8457	21.1900 
240.912	-0.0029	0.0024	1.0327	-0.5438	2.6422	-1.8842	21.1800 
240.929	-0.0059	-0.0034	1.0342	-0.5933	2.6147	-1.9006	21.1900 
240.929	-0.0039	0.0005	1.0322	-0.6372	2.5873	-1.9171	21.1700 
240.929	0.0176	0.0068	1.0303	-0.6757	2.5378	-1.9281	21.1800 
240.929	0.0239	0.0127	1.0283	-0.6976	2.4884	-1.9446	21.1800 
240.945	0.0186	0.0103	1.0396	-0.7196	2.4500	-1.9556	21.1800 
240.951	0.0156	0.0122	1.0444	-0.7416	2.4280	-1.9611	21.1800 
240.967	0.0205	0.0195	1.0469	-0.7690	2.4170	-1.9775	21.1800 
240.989	0.0225	0.0264	1.0391	-0.7855	2.4115	-1.9940	21.1900 
241.012	0.0142	0.0366	1.0239	-0.8020	2.4115	-2.0160	21.1800 
241.127	0.0054	0.0327	1.0322	-0.8240	2.4170	-2.0490	21.1800 
241.137	0.0083	0.0386	1.0356	-0.8569	2.4445	-2.0874	21.1800 
241.137	0.0190	0.0435	1.0347	-0.8954	2.4719	-2.1204	21.1900 
241.138	0.0195	0.0479	1.0439	-0.9393	2.5049	-2.1588	21.1900 
241.138	0.0200	0.0522	1.0376	-1.0052	2.5433	-2.2083	21.1800 
241.138	0.0186	0.0547	1.0356	-1.0876	2.6038	-2.2797	21.1700 
241.146	0.0322	0.0425	1.0361	-1.1975	2.6697	-2.3566	21.1900 
241.166	0.0146	0.0220	1.0366	-1.3074	2.7631	-2.4390	21.1800 
241.186	-0.0010	0.0176	1.0366	-1.3953	2.8784	-2.5323	21.1800 
241.207	-0.0151	0.0220	1.0439	-1.4722	3.0103	-2.6202	21.2000 
241.227	-0.0093	0.0215	1.0396	-1.5491	3.1421	-2.6917	21.1900 
241.331	-0.0166	0.0229	1.0229	-1.6205	3.2684	-2.7631	21.1700 
241.343	-0.0220	0.0181	1.0142	-1.6864	3.3893	-2.8180	21.1900 
241.343	-0.0313	0.0107	1.0142	-1.7468	3.4991	-2.8839	21.1700 
241.343	-0.0352	0.0132	1.0171	-1.7908	3.6035	-2.9498	21.1900 
241.343	-0.0308	0.0098	1.0317	-1.8402	3.6914	-2.9938	21.1900 
241.349	-0.0303	0.0044	1.0444	-1.8951	3.7683	-3.0157	21.1900 
241.365	-0.0254	0.0249	1.0322	-1.9446	3.8397	-3.0212	21.2000 
241.386	-0.0244	0.0220	1.0254	-1.9940	3.9056	-3.0267	21.1800 
241.407	-0.0293	0.0093	1.0215	-2.0599	3.9661	-3.0322	21.2000 
241.430	-0.0303	0.0063	1.0166	-2.1204	4.0210	-3.0432	21.1900 
241.542	-0.0254	0.0020	1.0137	-2.1973	4.0649	-3.0377	21.1700 
241.558	-0.0205	0.0010	1.0166	-2.2742	4.1034	-3.0212	21.1800 
241.558	-0.0034	-0.0049	1.0322	-2.3730	4.1254	-2.9828	21.2000 
241.558	0.0044	-0.0024	1.0347	-2.4719	4.1364	-2.9279	21.1900 
241.558	0.0093	-0.0059	1.0420	-2.5598	4.1528	-2.8839	21.1900 
241.558	0.0039	-0.0039	1.0659	-2.6422	4.1858	-2.8455	21.2000 
241.567	0.0063	0.0210	1.0469	-2.7246	4.2242	-2.8235	21.1900 
241.585	0.0156	0.0244	1.0161	-2.8070	4.2737	-2.8015	21.1800 
241.605	0.0225	0.0195	0.9731	-2.8949	4.3121	-2.7795	21.1900 
241.625	0.0293	0.0049	0.9795	-3.0103	4.3396	-2.7466	21.1900 
241.740	0.0356	-0.0142	0.9966	-3.1531	4.3396	-2.7246	21.2000 
241.747	0.0435	-0.0405	1.0508	-3.3069	4.3066	-2.7246	21.1900 
241.747	0.0459	-0.0400	1.0884	-3.4662	4.2407	-2.7521	21.1700 
241.748	0.0459	-0.0210	1.1177	-3.5870	4.1528	-2.7795	21.1700 
241.748	0.0459	-0.0029	1.1118	-3.6694	4.0485	-2.8070	21.1900 
