StartTime: 2018-11-17 10:37:23.800
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
115.898	-0.0010	0.2090	1.0093	9.8273	3.0707	-2.8839	21.4400 
115.898	-0.0034	0.2134	1.0068	9.8273	3.0762	-2.9114	21.4200 
115.918	-0.0015	0.2095	1.0112	9.8273	3.0817	-2.9333	21.4200 
115.928	-0.0098	0.2070	1.0063	9.8273	3.0927	-2.9663	21.4200 
115.934	-0.0137	0.2158	1.0083	9.8438	3.1091	-3.0048	21.4100 
115.953	-0.0176	0.2114	1.0132	9.8547	3.1256	-3.0432	21.4200 
115.973	-0.0200	0.2134	1.0171	9.8602	3.1366	-3.1036	21.4200 
116.083	-0.0239	0.2129	1.0107	9.8657	3.1476	-3.1805	21.4100 
116.093	-0.0244	0.2021	1.0039	9.8657	3.1531	-3.2520	21.4200 
116.093	-0.0229	0.1992	1.0029	9.8877	3.1476	-3.3179	21.4300 
116.093	-0.0190	0.2104	0.9990	9.9426	3.1256	-3.3673	21.4200 
116.093	-0.0195	0.2163	0.9990	10.0085	3.1036	-3.4058	21.4300 
116.099	-0.0220	0.2329	1.0103	10.0800	3.0981	-3.4497	21.4400 
116.118	-0.0171	0.2393	1.0181	10.1404	3.0981	-3.4882	21.4300 
116.140	-0.0146	0.2671	0.9990	10.1953	3.1036	-3.5321	21.4400 
116.242	-0.0122	0.2744	0.9893	10.2283	3.1201	-3.5815	21.4400 
116.255	-0.0200	0.2734	0.9858	10.2283	3.1366	-3.6584	21.4200 
116.255	-0.0249	0.2563	0.9917	10.1953	3.1750	-3.7463	21.4300 
116.255	-0.0439	0.2300	1.0015	10.1514	3.2245	-3.8397	21.4300 
116.256	-0.0430	0.2324	1.0083	10.1294	3.2684	-3.9276	21.4200 
116.264	-0.0220	0.2417	1.0068	10.1184	3.2849	-3.9880	21.4200 
116.278	-0.0142	0.2437	1.0024	10.1129	3.3014	-4.0430	21.4100 
116.301	-0.0156	0.2354	1.0024	10.0964	3.3289	-4.0979	21.4300 
116.319	-0.0234	0.2261	1.0029	10.0690	3.3673	-4.1473	21.4300 
116.332	-0.0181	0.2280	0.9839	10.0360	3.4003	-4.1803	21.4300 
116.350	0.0000	0.2397	0.9648	10.0031	3.4167	-4.1913	21.4400 
116.449	0.0327	0.2310	0.9502	9.9371	3.3893	-4.1858	21.4500 
116.464	0.0454	0.2178	0.9478	9.8438	3.3563	-4.1803	21.4300 
116.464	0.0630	0.2021	0.9785	9.7119	3.3124	-4.1638	21.4200 
116.464	0.0669	0.1982	1.0361	9.5581	3.2574	-4.1364	21.4400 
116.464	0.0615	0.2231	1.0830	9.4098	3.1915	-4.1089	21.4200 
116.471	0.0703	0.2388	1.0923	9.2725	3.1311	-4.0814	21.4400 
116.490	0.0708	0.2632	1.0439	9.1626	3.0707	-4.0649	21.4300 
116.514	0.0786	0.2480	1.0161	9.0637	3.0048	-4.0485	21.4300 
116.533	0.0742	0.2256	1.0088	8.9703	2.9498	-4.0155	21.4200 
116.552	0.0605	0.2231	1.0332	8.8770	2.9114	-3.9716	21.4300 
116.653	0.0532	0.2466	1.0459	8.8055	2.8839	-3.9111	21.4300 
116.665	0.0596	0.2656	1.0229	8.7506	2.8674	-3.8342	21.4300 
116.666	0.0684	0.2642	0.9780	8.7122	2.8619	-3.7463	21.4200 
116.666	0.0664	0.2563	0.9658	8.6682	2.8729	-3.6584	21.4300 
116.666	0.0757	0.2368	0.9517	8.6133	2.8784	-3.5651	21.4100 
116.672	0.0703	0.2358	0.9683	8.5254	2.8784	-3.4552	21.4200 
116.689	0.0762	0.2354	0.9873	8.4320	2.8510	-3.3398	21.4200 
116.710	0.0786	0.2280	0.9902	8.3221	2.8070	-3.2300	21.4100 
116.732	0.0762	0.2085	0.9961	8.1903	2.7576	-3.1366	21.4200 
116.755	0.0708	0.2021	0.9946	8.0640	2.7026	-3.0432	21.4100 
116.867	0.0693	0.1938	1.0088	7.9541	2.6532	-2.9443	21.4200 
116.881	0.0723	0.2007	1.0083	7.8662	2.6038	-2.8290	21.4000 
116.882	0.0801	0.2065	1.0225	7.8058	2.5433	-2.6971	21.4100 
116.882	0.0903	0.2080	1.0444	7.7399	2.4774	-2.5598	21.4100 
116.882	0.1055	0.2095	1.0483	7.6630	2.4060	-2.4115	21.4100 
116.882	0.1123	0.2070	1.0254	7.5916	2.3456	-2.2522	21.4100 
116.889	0.0986	0.1694	1.0342	7.5092	2.3016	-2.0709	21.4200 
116.908	0.0928	0.1479	1.0518	7.4323	2.2577	-1.8622	21.4300 
116.928	0.0972	0.1533	1.0464	7.4048	2.1973	-1.6150	21.4200 
116.948	0.0996	0.1797	1.0249	7.4487	2.1039	-1.3293	21.4200 
116.970	0.1069	0.1958	1.0215	7.5421	1.9830	-1.0327	21.4100 
117.084	0.1250	0.2080	1.0117	7.6630	1.8347	-0.7361	21.4300 
117.100	0.1309	0.2021	0.9976	7.7948	1.6809	-0.4559	21.4100 
117.100	0.1289	0.1875	0.9634	7.9486	1.5326	-0.1648	21.4000 
117.100	0.1162	0.1587	0.9507	8.1354	1.3843	0.1593	21.4100 
117.100	0.0747	0.1455	1.0674	8.3551	1.2305	0.5219	21.4100 
117.100	0.0767	0.2227	1.0679	8.6902	1.0272	0.9448	21.4000 
117.108	0.0947	0.2510	1.1045	8.9868	0.8185	1.3239	21.4000 
117.127	0.0903	0.2764	1.1455	9.2505	0.6262	1.6260	21.4100 
117.148	0.0488	0.2969	1.0610	9.4757	0.4834	1.8347	21.3900 
117.170	0.0186	0.2407	0.9790	9.5911	0.3790	1.9336	21.4100 
117.307	-0.0234	0.1143	0.9526	9.6460	0.2527	1.9775	21.4000 
117.314	-0.0371	0.0610	0.9922	9.6899	0.0549	2.0215	21.3900 
117.314	-0.0400	0.1406	0.9897	9.7998	-0.1813	2.1259	21.4000 
117.314	-0.0088	0.1787	0.9780	9.9261	-0.4120	2.3181	21.3700 
117.314	0.0117	0.2090	1.0410	10.0250	-0.5878	2.5488	21.3900 
117.314	0.0249	0.2266	1.0918	10.0690	-0.6812	2.7246	21.3900 
117.314	0.0420	0.2407	1.1162	10.0360	-0.6921	2.7740	21.3800 
117.326	0.0435	0.2349	1.0991	9.9261	-0.6647	2.6971	21.3800 
