StartTime: 2018-11-10 20:49:14.986
Time(s)	ax(g)	ay(g)	az(g) 
459.830	-0.7935	0.4316	0.2324 
459.877	-0.7949	0.4316	0.2329 
459.939	-0.7891	0.4321	0.2271 
459.986	-0.7925	0.4341	0.2295 
460.033	-0.7949	0.4360	0.2241 
460.080	-0.7871	0.4385	0.2207 
460.143	-0.7915	0.4487	0.2295 
460.174	-0.7939	0.4502	0.2026 
460.221	-0.8384	0.5356	0.2388 
460.299	-0.8228	0.5161	0.2715 
460.346	-0.8774	0.5332	0.3438 
460.377	-0.7617	0.6846	0.3691 
460.424	-0.4629	0.7607	0.2803 
460.471	-0.3667	0.7202	0.1924 
460.518	-0.5479	0.6523	0.1606 
460.580	-0.7231	0.6118	0.1377 
460.627	-0.8320	0.5693	0.1650 
460.674	-0.8169	0.5347	0.1929 
460.721	-0.7329	0.5586	0.1587 
460.768	-0.7749	0.4897	0.1704 
460.830	-0.8887	0.1953	0.1924 
460.877	-1.3618	0.1460	0.4663 
460.939	-0.5562	0.6704	0.1636 
460.971	-0.8877	0.4902	0.2905 
461.018	-0.8828	0.4404	0.1641 
461.080	-0.7612	0.5112	0.1650 
461.158	-0.7764	0.5073	0.1665 
461.174	-0.7876	0.4858	0.2183 
461.221	-0.7695	0.4570	0.1934 
461.268	-0.8101	0.4297	0.2715 
461.314	-0.8218	0.3774	0.2603 
461.377	-0.8130	0.3823	0.2661 
461.424	-0.8140	0.3237	0.3340 
461.471	-0.8516	0.3281	0.2886 
461.518	-0.8496	0.3164	0.3687 
461.580	-0.9546	0.3496	0.2168 
461.627	-0.9697	0.2803	0.2910 
461.674	-1.0469	0.3354	0.4458 
461.752	-1.1094	0.3901	0.3794 
461.768	-1.2837	0.4507	0.4082 
461.814	-1.5112	0.1279	0.6431 
461.877	-0.7310	0.4600	0.2539 
461.924	-0.2085	0.4526	0.2017 
461.971	-0.2676	0.5093	0.1743 
462.018	-0.5337	0.4541	0.1772 
462.064	-1.0107	0.4336	0.2412 
462.111	-1.2891	0.4517	0.2227 
462.205	-1.3784	0.4658	0.1860 
462.236	-1.4595	0.2295	0.1641 
462.283	-1.4775	-0.3560	0.2456 
462.314	-2.2642	-0.7266	0.2476 
462.377	-0.5366	0.7910	0.1543 
462.424	-1.0112	0.3076	0.2915 
462.471	-0.9463	0.2915	0.2119 
462.518	-0.8213	0.4473	0.1519 
462.564	-0.8452	0.4072	0.2627 
462.611	-0.7935	0.3784	0.2617 
462.674	-0.8188	0.3496	0.2627 
462.721	-0.8135	0.3281	0.3398 
462.799	-0.8950	0.2803	0.2925 
462.814	-0.7969	0.1909	0.4121 
462.861	-0.9478	0.2549	0.3359 
462.908	-0.9775	0.1904	0.3047 
462.971	-0.9897	0.1836	0.3955 
463.049	-0.9902	0.1606	0.3735 
463.064	-1.3970	0.4414	0.5464 
463.111	-1.7109	0.2261	0.8682 
463.174	-0.2017	0.3716	0.3911 
463.221	-0.2207	0.5283	0.2686 
463.268	-0.2334	0.3960	0.2119 
463.330	-0.5762	0.4131	0.1494 
463.361	-1.0410	0.2979	0.1812 
463.439	-1.2939	0.2490	0.3018 
463.471	-1.3735	0.2559	0.2612 
463.518	-1.3589	0.2212	0.2114 
463.611	-1.3706	-0.1738	0.3218 
463.627	-1.4092	-0.9863	0.4741 
463.658	-0.8037	0.0381	0.1543 
463.705	-1.1987	0.0493	0.1694 
463.799	-1.1313	-0.0571	0.5229 
463.814	-0.9268	0.2056	0.1753 
463.861	-0.8955	0.1948	0.2510 
463.908	-0.8687	0.1641	0.2905 
463.955	-0.8589	0.1523	0.3447 
464.018	-0.9204	0.1431	0.2773 
464.064	-0.8857	0.1147	0.3501 
464.111	-0.8916	0.1572	0.3584 
464.174	-0.9849	0.1313	0.3296 
464.236	-0.9819	0.0464	0.3394 
464.268	-1.0146	0.0503	0.3950 
464.314	-1.1816	0.1694	0.4951 
464.377	-1.6421	0.4771	0.7627 
464.408	-1.2280	0.1846	1.1582 
464.455	-0.3735	0.5513	0.3564 
464.502	-0.1982	0.4209	0.1182 
464.596	-0.4448	0.2964	0.2104 
464.611	-0.8135	0.1040	0.2183 
464.658	-1.1431	0.0825	0.2349 
464.705	-1.3770	0.0337	0.4272 
464.752	-1.4922	0.1172	0.4019 
464.830	-1.4258	-0.0762	0.2720 
464.861	-1.2798	-0.7871	0.4458 
464.908	-1.7871	-1.0464	0.7891 
464.955	-0.7314	0.6152	0.2793 
465.018	-0.9941	-0.0767	0.2808 
465.064	-1.0381	-0.0430	0.2476 
465.111	-0.9443	-0.0083	0.1846 
465.158	-0.9292	-0.0508	0.2520 
465.221	-0.8999	-0.0625	0.2500 
465.252	-0.9053	-0.0522	0.2593 
465.299	-0.9380	-0.0605	0.2427 
465.361	-0.8887	-0.0776	0.2822 
465.455	-0.9165	-0.0176	0.3691 
465.471	-0.9497	-0.0239	0.3501 
465.502	-0.9238	-0.0977	0.3135 
465.549	-0.9609	-0.0698	0.5444 
465.611	-1.1567	0.0181	0.5078 
465.658	-1.7349	0.2427	0.6348 
465.705	-1.2915	-0.2129	1.0337 
465.752	-0.7690	0.5752	0.3809 
465.814	-0.2222	0.5005	0.1899 
465.861	-0.3667	0.4224	0.1729 
465.908	-0.8101	0.1885	0.2056 
